Method,MSE_rank,RMSE_rank,MAE_rank,R2_rank,avg_rank
LinearRegression,1.0,1.0,1.0,1.0,1.0
TabPFN,2.0,2.0,2.0,2.0,2.0
EBM_FBII,3.0,3.0,3.0,3.0,3.0
XGBoost,4.0,4.0,5.0,4.0,4.25
DecisionTree,5.0,5.0,4.0,5.0,4.75
PyGAM_FBII,6.0,6.0,6.0,6.0,6.0
