Method,MSE_rank,RMSE_rank,MAE_rank,R2_rank,avg_rank
EBM_FBII,1.0,1.0,1.0,1.0,1.0
LinearRegression,2.0,2.0,4.0,2.0,2.5
DecisionTree,3.0,3.0,2.0,3.0,2.75
XGBoost,4.0,4.0,3.0,4.0,3.75
PyGAM_FBII,5.0,5.0,6.0,5.0,5.25
TabPFN,6.0,6.0,5.0,6.0,5.75
