Method,MSE_rank,RMSE_rank,MAE_rank,R2_rank,avg_rank
XGBoost,1.0,1.0,2.0,1.0,1.25
DecisionTree,2.0,2.0,3.0,2.0,2.25
EBM_FBII,3.0,3.0,1.0,3.0,2.5
LinearRegression,4.0,4.0,4.0,4.0,4.0
PyGAM_FBII,5.0,5.0,5.0,5.0,5.0
TabPFN,6.0,6.0,6.0,6.0,6.0
