Method,MSE_rank,RMSE_rank,MAE_rank,R2_rank,avg_rank
TabPFN,1.0,1.0,1.0,1.0,1.0
LinearRegression,2.0,2.0,2.0,2.0,2.0
EBM_FBII,3.0,3.0,3.0,3.0,3.0
PyGAM_FBII,4.0,4.0,4.0,4.0,4.0
XGBoost,5.0,5.0,5.0,5.0,5.0
DecisionTree,6.0,6.0,6.0,6.0,6.0
