Method,n_tasks,MSE_rank_mean,MSE_rank_se,RMSE_rank_mean,RMSE_rank_se,MAE_rank_mean,MAE_rank_se,R2_rank_mean,R2_rank_se,avg_rank_mean,avg_rank_se
TabPFN,27,1.6296296296296295,0.27293982591447263,1.6296296296296295,0.27293982591447263,1.6296296296296295,0.2511974067824173,1.6296296296296295,0.27293982591447263,1.6296296296296295,0.2666701289740412
EBM_FBII,27,2.3703703703703702,0.1523617317050819,2.3703703703703702,0.1523617317050819,2.259259259259259,0.16531582993052998,2.3703703703703702,0.1523617317050819,2.3425925925925926,0.1498742042244319
XGBoost,27,3.2962962962962963,0.17553187237321213,3.2962962962962963,0.17553187237321213,3.2962962962962963,0.17553187237321213,3.2962962962962963,0.17553187237321213,3.2962962962962963,0.1724617701128849
LinearRegression,27,4.185185185185185,0.3542056521008135,4.185185185185185,0.3542056521008135,4.333333333333333,0.3333333333333333,4.185185185185185,0.3542056521008135,4.222222222222222,0.34702986124596147
PyGAM_FBII,26,4.6923076923076925,0.24663414679817539,4.6923076923076925,0.24663414679817539,4.653846153846154,0.2477114182785326,4.6923076923076925,0.24663414679817539,4.6826923076923075,0.24516779666324462
DecisionTree,27,4.777777777777778,0.18745053161932743,4.777777777777778,0.18745053161932743,4.777777777777778,0.20207846867584423,4.777777777777778,0.18745053161932743,4.777777777777778,0.18697496925071494
