Method,MSE_rank,RMSE_rank,MAE_rank,R2_rank,avg_rank
EBM_FBII,1.0,1.0,1.0,1.0,1.0
TabPFN,2.0,2.0,2.0,2.0,2.0
XGBoost,3.0,3.0,3.0,3.0,3.0
LinearRegression,4.0,4.0,4.0,4.0,4.0
DecisionTree,5.0,5.0,5.0,5.0,5.0
PyGAM_FBII,6.0,6.0,6.0,6.0,6.0
