Method,MSE_rank,RMSE_rank,MAE_rank,R2_rank,avg_rank
TabPFN,1.0,1.0,1.0,1.0,1.0
EBM_FBII,2.0,2.0,3.0,2.0,2.25
XGBoost,3.0,3.0,2.0,3.0,2.75
DecisionTree,4.0,4.0,4.0,4.0,4.0
PyGAM_FBII,5.0,5.0,5.0,5.0,5.0
LinearRegression,6.0,6.0,6.0,6.0,6.0
