Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(0, 1)]",8.151584029197693,0.0957222727460845,0.3093901626524096,0.2532782332618563,0.8987687843060942,bii,BII-SPEX-EBM
Model 2,2,"[(0, 1), (1, 2)]",6.443531394004822,0.0988682550352751,0.3144332282620193,0.2605295834471322,0.8954417465901067,bii,BII-SPEX-EBM
Model 3,3,"[(0, 1), (1, 2), (0, 1, 3)]",5361.624803721905,0.0976327999277884,0.3124624776317765,0.2549132009999503,0.8967483037672213,bii,BII-SPEX-EBM
Model 4,4,"[(0, 1), (1, 2), (0, 1, 3), (0, 2)]",4799.759707599878,0.0979569848006838,0.3129808058023428,0.2556329581226405,0.8964054616276513,bii,BII-SPEX-EBM
Model 5,5,"[(0, 1), (1, 2), (0, 1, 3), (0, 2), (2, 3)]",296.39656195789576,0.0993001997510979,0.3151193420770898,0.2578071181423512,0.8949849428866332,bii,BII-SPEX-EBM
Model 6,6,"[(0, 1), (1, 2), (0, 1, 3), (0, 2), (2, 3), (0, 3)]",488.3554017990828,0.0980623431262277,0.3131490749247517,0.2563453391288887,0.8962940397916218,bii,BII-SPEX-EBM
Model 7,7,"[(0, 1), (1, 2), (0, 1, 3), (0, 2), (2, 3), (0, 3), (0, 1, 2)]",777.5047803297639,0.0976374410647553,0.3124699042544023,0.2563001935797888,0.8967433955267055,bii,BII-SPEX-EBM
Model 8,8,"[(0, 1), (1, 2), (0, 1, 3), (0, 2), (2, 3), (0, 3), (0, 1, 2), (1, 3)]",1114.5486778393388,0.0993205725706602,0.3151516659810959,0.2587386841536599,0.8949633975844561,bii,BII-SPEX-EBM
Model 9,9,"[(0, 1), (1, 2), (0, 1, 3), (0, 2), (2, 3), (0, 3), (0, 1, 2), (1, 3), (0, 1, 4)]",484.6129437312484,0.0961761759208272,0.3101228400502409,0.2532320909330504,0.8982887584054511,bii,BII-SPEX-EBM
Model 10,10,"[(0, 1), (1, 2), (0, 1, 3), (0, 2), (2, 3), (0, 3), (0, 1, 2), (1, 3), (0, 1, 4), (0, 4)]",489.6846087872982,0.0954927849048192,0.309019068836891,0.2525540241526692,0.8990114794750637,bii,BII-SPEX-EBM
Model 1,1,"[(0, 1)]",5.434500105679035,0.0957222727460845,0.3093901626524096,0.2532782332618563,0.8987687843060942,fbii,FBII-SPEX-EBM
Model 2,2,"[(0, 1), (1, 2)]",4.180051393806934,0.0988682550352751,0.3144332282620193,0.2605295834471322,0.8954417465901067,fbii,FBII-SPEX-EBM
Model 3,3,"[(0, 1), (1, 2), (0, 1, 3)]",5232.611795522273,0.0976327999277884,0.3124624776317765,0.2549132009999503,0.8967483037672213,fbii,FBII-SPEX-EBM
Model 4,4,"[(0, 1), (1, 2), (0, 1, 3), (2, 3)]",240.78752160072327,0.0997459878980736,0.3158258822485478,0.2585080398988535,0.8945134990443001,fbii,FBII-SPEX-EBM
Model 5,5,"[(0, 1), (1, 2), (0, 1, 3), (2, 3), (0, 2)]",275.51390232890844,0.0991974978311775,0.3149563427384461,0.2580491949334483,0.8950935554373948,fbii,FBII-SPEX-EBM
Model 6,6,"[(0, 1), (1, 2), (0, 1, 3), (2, 3), (0, 2), (1, 3)]",330.0852780714631,0.09915688697112,0.3148918655207213,0.2587600721794456,0.8951365035059692,fbii,FBII-SPEX-EBM
Model 7,7,"[(0, 1), (1, 2), (0, 1, 3), (2, 3), (0, 2), (1, 3), (0, 3)]",327.71515837311745,0.0991315088175246,0.3148515663253475,0.257260484169476,0.8951633422057496,fbii,FBII-SPEX-EBM
