Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(0, 1)]",8.740975305438042,0.0865603960803374,0.2942114818975245,0.2331031608815608,0.9112724867155276,bii,BII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 1, 3)]",3291.0307625457644,0.0932709377182005,0.3054029104612471,0.2398576740406378,0.9043939406450257,bii,BII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 1, 3), (0, 1, 2)]",3324.170518666506,0.0918017190874512,0.3029879850546079,0.2317028426003558,0.9058999424828243,bii,BII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 2)]",2783.640074186027,0.0920782050921799,0.3034439076537539,0.2309818426744581,0.9056165344028204,bii,BII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 2), (1, 3)]",2339.135907568037,0.0921449024288307,0.3035537883618498,0.2316661266998296,0.9055481672384854,bii,BII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 2), (1, 3), (0, 1, 4)]",3012.187992282212,0.0971650574846315,0.3117131012399568,0.2429743780804805,0.9004023280952556,bii,BII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 2), (1, 3), (0, 1, 4), (1, 2)]",3466.5195368006825,0.0965241452342353,0.3106833520390743,0.2409457937450186,0.9010592861590614,bii,BII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 2), (1, 3), (0, 1, 4), (1, 2), (1, 2, 3)]",3609.626960001886,0.0970200056333464,0.3114803455008782,0.2437696393553942,0.9005510114498221,bii,BII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 2), (1, 3), (0, 1, 4), (1, 2), (1, 2, 3), (0, 4)]",3701.863734222949,0.0951250422851233,0.308423478816259,0.2407931407285154,0.9024934169062044,bii,BII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 2), (1, 3), (0, 1, 4), (1, 2), (1, 2, 3), (0, 4), (1, 4)]",3830.725240215659,0.0981069465929506,0.3132202844532114,0.2454216772703097,0.8994368579477607,bii,BII-SPEX-EBM
