Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 9,9,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (2, 3, 4), (1, 2, 4), (1, 4), (0, 1, 4)]",538.8198037240654,0.0760098762630103,0.2756988869455412,0.2081375943808039,0.950992026526952,fsii,FSII-SPEX-EBM
Model 10,10,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (2, 3, 4), (1, 2, 4), (1, 4), (0, 1, 4), (0, 1, 2)]",382.2093320302665,0.0761129465034957,0.2758857490039958,0.2102397052539503,0.950925571167992,fsii,FSII-SPEX-EBM
Model 1,1,"[(2, 3)]",3.044437849894166,0.078083563185764,0.2794343629294079,0.216813682291594,0.9496550003574834,mobius,MOBIUS-SPEX-EBM
Model 2,2,"[(2, 3), (3, 4)]",5.035019004717469,0.0685976430119928,0.2619115175245122,0.2055238953716537,0.9557711229865352,mobius,MOBIUS-SPEX-EBM
Model 3,3,"[(2, 3), (3, 4), (1, 2)]",4.31152268499136,0.0741680480107571,0.2723381134008921,0.2083085733687715,0.9521795599708428,mobius,MOBIUS-SPEX-EBM
Model 4,4,"[(2, 3), (3, 4), (1, 2), (2, 4)]",4.119637196883559,0.0754940537686326,0.2747618127917936,0.2127049839832851,0.9513246071909937,mobius,MOBIUS-SPEX-EBM
Model 5,5,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3)]",3.351006340235472,0.0784404739088926,0.280072265511765,0.2107338063026461,0.9494248793243848,mobius,MOBIUS-SPEX-EBM
Model 6,6,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (2, 3, 4)]",425.1918037906289,0.082711804119975,0.2875965996321498,0.2182656435282583,0.9466709051308864,mobius,MOBIUS-SPEX-EBM
Model 7,7,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (2, 3, 4), (1, 2, 4)]",237.6172400992364,0.0826988105327099,0.287574008792015,0.2100362940297326,0.9466792828498264,mobius,MOBIUS-SPEX-EBM
Model 8,8,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (2, 3, 4), (1, 2, 4), (1, 3, 4)]",194.53030770085752,0.0786288012507774,0.2804082760026484,0.208428232451566,0.9493034537698504,mobius,MOBIUS-SPEX-EBM
Model 9,9,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (2, 3, 4), (1, 2, 4), (1, 3, 4), (0, 1, 2)]",311.0219845697284,0.0807599521124022,0.2841829553516577,0.2024766475497726,0.947929377267842,mobius,MOBIUS-SPEX-EBM
Model 10,10,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (2, 3, 4), (1, 2, 4), (1, 3, 4), (0, 1, 2), (0, 3, 4)]",366.4165633879602,0.0786391311947176,0.2804266948682269,0.2105467608131582,0.9492967934561716,mobius,MOBIUS-SPEX-EBM
Model 1,1,"[(2, 3)]",3.0576688200235367,0.078083563185764,0.2794343629294079,0.216813682291594,0.9496550003574834,sii,SII-SPEX-EBM
Model 2,2,"[(2, 3), (3, 4)]",4.627251947298646,0.0685976430119928,0.2619115175245122,0.2055238953716537,0.9557711229865352,sii,SII-SPEX-EBM
Model 3,3,"[(2, 3), (3, 4), (1, 2)]",4.55923642590642,0.0741680480107571,0.2723381134008921,0.2083085733687715,0.9521795599708428,sii,SII-SPEX-EBM
Model 4,4,"[(2, 3), (3, 4), (1, 2), (2, 4)]",4.4665585570037365,0.0754940537686326,0.2747618127917936,0.2127049839832851,0.9513246071909937,sii,SII-SPEX-EBM
Model 5,5,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3)]",3.5828807037323718,0.0784404739088926,0.280072265511765,0.2107338063026461,0.9494248793243848,sii,SII-SPEX-EBM
Model 6,6,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (2, 3, 4)]",432.9294804632664,0.082711804119975,0.2875965996321498,0.2182656435282583,0.9466709051308864,sii,SII-SPEX-EBM
Model 7,7,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (2, 3, 4), (1, 3, 4)]",183.75198152847588,0.0764585999843155,0.2765114825541889,0.2030312353742982,0.9507027083315854,sii,SII-SPEX-EBM
Model 1,1,"[(2, 3)]",3.3537727165967226,0.078083563185764,0.2794343629294079,0.216813682291594,0.9496550003574834,stii,STII-SPEX-EBM
Model 2,2,"[(2, 3), (1, 2)]",3.626800429075956,0.0788975905560308,0.2808871491471811,0.2155823856796504,0.949130149723201,stii,STII-SPEX-EBM
Model 3,3,"[(2, 3), (1, 2), (3, 4)]",3.49220284447074,0.0759054956449395,0.2755095200622648,0.2110166384357674,0.9510593267623032,stii,STII-SPEX-EBM
Model 4,4,"[(2, 3), (1, 2), (3, 4), (2, 4)]",4.234007304534316,0.0755373023730417,0.2748405035162061,0.2117838790117716,0.9512967223086356,stii,STII-SPEX-EBM
Model 5,5,"[(2, 3), (1, 2), (3, 4), (2, 4), (1, 3)]",3.227607959881425,0.0790688470601121,0.281191833203086,0.210199855091488,0.9490197307273844,stii,STII-SPEX-EBM
Model 6,6,"[(2, 3), (1, 2), (3, 4), (2, 4), (1, 3), (2, 3, 4)]",490.9052742160857,0.0816831617424031,0.2858026622381308,0.2172060048012236,0.9473341305014796,stii,STII-SPEX-EBM
Model 7,7,"[(2, 3), (1, 2), (3, 4), (2, 4), (1, 3), (2, 3, 4), (1, 2, 4)]",232.79856675118208,0.0784105258049223,0.2800187954493811,0.2096082094480413,0.949444188603088,stii,STII-SPEX-EBM
Model 8,8,"[(2, 3), (1, 2), (3, 4), (2, 4), (1, 3), (2, 3, 4), (1, 2, 4), (0, 3, 4)]",1163.0678853318095,0.0781827393646836,0.2796117654260702,0.2081877056957634,0.9495910557257512,stii,STII-SPEX-EBM
Model 9,9,"[(2, 3), (1, 2), (3, 4), (2, 4), (1, 3), (2, 3, 4), (1, 2, 4), (0, 3, 4), (1, 3, 4)]",301.6490268483758,0.0775917856834201,0.278553021314471,0.2078158189948219,0.9499720778212872,stii,STII-SPEX-EBM
Model 10,10,"[(2, 3), (1, 2), (3, 4), (2, 4), (1, 3), (2, 3, 4), (1, 2, 4), (0, 3, 4), (1, 3, 4), (1, 4)]",333.25247374363244,0.074967547575355,0.27380202259179,0.2010374773936815,0.9516640762550432,stii,STII-SPEX-EBM
Model 1,1,"[(2, 3)]",6.925997527316213,0.078083563185764,0.2794343629294079,0.216813682291594,0.9496550003574834,,Baseline-EBM
Model 1,1,"[(2, 4)]",5.051998199895024,0.0840136113346222,0.2898510157557193,0.2055312001254133,0.945831554554631,,RuleFit-Support-EBM
Model 2,2,"[(1, 3), (2, 3)]",5.714252559933811,0.0750196934942808,0.2738972316294578,0.2069088976102751,0.9516304547582446,,Baseline-EBM
Model 2,2,"[(2, 4), (2, 3)]",3.613716241088696,0.0741986265370071,0.2723942483552234,0.2048211297870839,0.952159844222351,,RuleFit-Support-EBM
Model 3,3,"[(1, 3), (2, 3), (2, 4)]",8.378420302644372,0.0801655124055401,0.2831351486579159,0.2116422121355474,0.948312647006164,,Baseline-EBM
Model 3,3,"[(2, 4), (2, 3), (1, 2, 3)]",25.065377613529563,0.0803555696385146,0.2834705798465066,0.2070815240236181,0.9481901060905632,,RuleFit-Support-EBM
Model 4,4,"[(1, 3), (2, 3), (2, 4), (3, 4)]",7.559055581688881,0.0783221093404393,0.2798608749726181,0.2094019765847768,0.9495011958231888,,Baseline-EBM
Model 4,4,"[(2, 4), (2, 3), (1, 2, 3), (2, 3, 4)]",417.4297859650105,0.077454024340285,0.2783056311688375,0.2084609035573523,0.9500609005451476,,RuleFit-Support-EBM
Model 5,5,"[(1, 2), (1, 3), (2, 3), (2, 4), (3, 4)]",5.204098680987954,0.0784997642184456,0.280178093751895,0.2099086394593197,0.9493866514247928,,Baseline-EBM
Model 5,5,"[(2, 4), (2, 3), (1, 2, 3), (2, 3, 4), (3, 4)]",253.3476780038327,0.0758512438703722,0.2754110452947962,0.2078101396493503,0.9510943060263092,,RuleFit-Support-EBM
Model 6,6,"[(0, 1), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4)]",8.15264149568975,0.0754785478037853,0.2747335942395565,0.2103609228116832,0.951334604785402,,Baseline-EBM
Model 6,6,"[(2, 4), (2, 3), (1, 2, 3), (2, 3, 4), (3, 4), (3, 4)]",264.23865613155067,0.0758512438703722,0.2754110452947962,0.2078101396493503,0.9510943060263092,,RuleFit-Support-EBM
Model 7,7,"[(0, 1), (0, 3), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4)]",6.310675574466586,0.0798582072922375,0.282591944846695,0.2171368592901051,0.9485107844270008,,Baseline-EBM
Model 7,7,"[(2, 4), (2, 3), (1, 2, 3), (2, 3, 4), (3, 4), (3, 4), (3, 4)]",249.00632270798087,0.0758512438703722,0.2754110452947962,0.2078101396493503,0.9510943060263092,,RuleFit-Support-EBM
Model 8,8,"[(0, 1), (0, 3), (0, 4), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4)]",7.881159069016576,0.0806843345990085,0.2840498804770185,0.2152925427358132,0.947978132262228,,Baseline-EBM
Model 8,8,"[(2, 4), (2, 3), (1, 2, 3), (2, 3, 4), (3, 4), (3, 4), (3, 4), (3, 4)]",319.44777322001755,0.0758512438703722,0.2754110452947962,0.2078101396493503,0.9510943060263092,,RuleFit-Support-EBM
Model 9,9,"[(0, 1), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]",5.333045097067952,0.0787223651085172,0.2805750614515075,0.2112699026992723,0.9492431277269257,,Baseline-EBM
Model 9,9,"[(2, 4), (2, 3), (1, 2, 3), (2, 3, 4), (3, 4), (3, 4), (3, 4), (3, 4), (3, 4)]",249.47029277682304,0.0758512438703722,0.2754110452947962,0.2078101396493503,0.9510943060263092,,RuleFit-Support-EBM
Model 10,10,"[(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]",5.767596907913685,0.0778409676522713,0.2789999420291542,0.2127438622989043,0.9498114157610416,,Baseline-EBM
Model 10,10,"[(2, 4), (2, 3), (1, 2, 3), (2, 3, 4), (3, 4), (3, 4), (3, 4), (3, 4), (3, 4), (3, 4)]",250.86908635497093,0.0758512438703722,0.2754110452947962,0.2078101396493503,0.9510943060263092,,RuleFit-Support-EBM
