Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 7,7,"[(0, 9, 11), (0, 11), (9, 10), (0, 9), (9, 11), (2, 9), (9, 10, 11)]",581.980680283159,4667802006.348404,68321.3144366266,32577.250079105208,0.6691589790933399,stii,STII-SPEX-EBM
Model 8,8,"[(0, 9, 11), (0, 11), (9, 10), (0, 9), (9, 11), (2, 9), (9, 10, 11), (0, 9, 10)]",514.9948324412107,4736270539.227328,68820.56770491891,32724.316116219263,0.6643061170210334,stii,STII-SPEX-EBM
Model 1,1,"[(3, 8)]",5.690457485616207,4756088029.046965,68964.39682217894,32838.017738732,0.662901507623544,,Baseline-EBM
Model 1,1,"[(1, 12)]",3.4225102104246616,4847723944.566174,69625.59834260796,32717.208152471518,0.6564066049261162,,RuleFit-Support-EBM
Model 2,2,"[(2, 8), (3, 8)]",6.933000054210424,4793848104.6335535,69237.62058760796,32673.77924080734,0.6602251768923799,,Baseline-EBM
Model 2,2,"[(1, 12), (9, 10)]",3.208120416849852,4681368693.162637,68420.52830227662,32403.67811068767,0.668197409491665,,RuleFit-Support-EBM
Model 3,3,"[(2, 8), (3, 8), (8, 9)]",12.804855067282915,4675717909.007154,68379.22132495481,32621.66718926118,0.6685979215948734,,Baseline-EBM
Model 3,3,"[(1, 12), (9, 10), (4, 6)]",4.506231043487787,4792248050.961398,69226.06482360093,32711.23158071967,0.660338584314049,,RuleFit-Support-EBM
Model 4,4,"[(2, 8), (3, 8), (6, 8), (8, 9)]",7.24998565018177,4749876996.064561,68919.35139033565,32718.65989235553,0.6633417286290599,,Baseline-EBM
Model 4,4,"[(1, 12), (9, 10), (4, 6), (2, 9)]",3.4337633959949017,4682935122.408454,68431.97441553512,32389.592911274107,0.6680863852772361,,RuleFit-Support-EBM
Model 5,5,"[(2, 6), (2, 8), (3, 8), (6, 8), (8, 9)]",5.87983338534832,4759850754.042005,68991.67162811758,32766.308799210947,0.6626348159821556,,Baseline-EBM
Model 5,5,"[(1, 12), (9, 10), (4, 6), (2, 9), (3, 9, 10)]",52.24035795778036,4771062003.535299,69072.87458572503,32655.399597168784,0.6618401933261482,,RuleFit-Support-EBM
Model 6,6,"[(2, 6), (2, 8), (3, 8), (5, 8), (6, 8), (8, 9)]",7.708795227110386,4586362309.719422,67722.68681704398,32551.22373288037,0.6749312017236948,,Baseline-EBM
Model 6,6,"[(1, 12), (9, 10), (4, 6), (2, 9), (3, 9, 10), (6, 10, 13)]",430.0244612954557,4555033413.524527,67490.98764668159,32191.501790240025,0.6771517080748428,,RuleFit-Support-EBM
Model 7,7,"[(0, 8), (2, 6), (2, 8), (3, 8), (5, 8), (6, 8), (8, 9)]",7.181260161101818,4695272625.399058,68522.05940716507,32809.4815431042,0.6672119368581946,,Baseline-EBM
Model 7,7,"[(1, 12), (9, 10), (4, 6), (2, 9), (3, 9, 10), (6, 10, 13), (3, 9, 13)]",77.74998274445534,4625666477.403676,68012.25240648685,32354.975566185305,0.6721454299739806,,RuleFit-Support-EBM
Model 8,8,"[(0, 6), (0, 8), (2, 6), (2, 8), (3, 8), (5, 8), (6, 8), (8, 9)]",7.313930835574865,4820169848.126277,69427.44304758945,32707.690392336022,0.658359563809963,,Baseline-EBM
Model 8,8,"[(1, 12), (9, 10), (4, 6), (2, 9), (3, 9, 10), (6, 10, 13), (3, 9, 13), (5, 10, 11)]",400.556734316051,4771764718.547837,69077.96116380273,32827.971341753444,0.661790386810825,,RuleFit-Support-EBM
Model 9,9,"[(0, 6), (0, 8), (2, 6), (2, 8), (3, 8), (3, 11), (5, 8), (6, 8), (8, 9)]",4.997166149318218,4711636979.388008,68641.36492952342,32629.15606815366,0.6660520762701021,,Baseline-EBM
Model 9,9,"[(1, 12), (9, 10), (4, 6), (2, 9), (3, 9, 10), (6, 10, 13), (3, 9, 13), (5, 10, 11), (3, 10, 11)]",351.7668833732605,4738461979.64874,68836.48726982472,32577.775613169222,0.66415079372641,,RuleFit-Support-EBM
Model 10,10,"[(0, 6), (0, 8), (2, 6), (2, 8), (3, 8), (3, 11), (5, 8), (5, 11), (6, 8), (8, 9)]",8.482359064742923,4780074854.963021,69138.08541580409,32643.494548095907,0.6612013871035252,,Baseline-EBM
Model 10,10,"[(1, 12), (9, 10), (4, 6), (2, 9), (3, 9, 10), (6, 10, 13), (3, 9, 13), (5, 10, 11), (3, 10, 11), (3, 11)]",124.59819834120572,4760127950.156045,68993.68050884113,32652.000593972305,0.662615169080844,,RuleFit-Support-EBM
