Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(0, 1)]",6.796581789851189,0.069026314569454,0.262728594883492,0.2005524850647862,0.8984049227667117,bii,BII-SPEX-EBM
Model 2,2,"[(0, 1), (1, 2)]",4.680579088628292,0.0714403361181927,0.2672832507251301,0.2098611463655622,0.8948518907496226,bii,BII-SPEX-EBM
Model 3,3,"[(0, 1), (1, 2), (0, 1, 2)]",237.1830186471343,0.0656026612023436,0.2561301645693916,0.2071550386917769,0.9034439623043304,bii,BII-SPEX-EBM
Model 4,4,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3)]",191.33796178549528,0.0702989742960246,0.265139537406296,0.2144472906256638,0.8965317825879391,bii,BII-SPEX-EBM
Model 5,5,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3), (1, 3)]",768.1810210868716,0.0726534383537899,0.2695430176313048,0.2177293839278133,0.893066409138934,bii,BII-SPEX-EBM
Model 6,6,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3), (1, 3), (2, 3)]",215.81181272119284,0.0728383983449936,0.2698858987516644,0.2225551693073356,0.8927941792696643,bii,BII-SPEX-EBM
Model 7,7,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3), (1, 3), (2, 3), (0, 3)]",237.89263170212507,0.0749409323559708,0.2737534152407434,0.2231482767859904,0.8896996043012163,bii,BII-SPEX-EBM
Model 8,8,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3), (1, 3), (2, 3), (0, 3), (0, 2)]",272.82759991288185,0.0723348383614959,0.2689513680230981,0.2213287518117138,0.8935353345194287,bii,BII-SPEX-EBM
Model 9,9,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3), (1, 3), (2, 3), (0, 3), (0, 2), (0, 4)]",293.3271734416485,0.0759611185892746,0.2756104471700495,0.2235385904923378,0.8881980624644354,bii,BII-SPEX-EBM
Model 10,10,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3), (1, 3), (2, 3), (0, 3), (0, 2), (0, 4), (0, 1, 4)]",491.7829289808869,0.0710136379639837,0.2664838418440857,0.2154399378731667,0.8954799183678225,bii,BII-SPEX-EBM
Model 1,1,"[(0, 1)]",6.266613036394119,0.069026314569454,0.262728594883492,0.2005524850647862,0.8984049227667117,fbii,FBII-SPEX-EBM
Model 2,2,"[(0, 1), (1, 2)]",3.2733307778835297,0.0714403361181927,0.2672832507251301,0.2098611463655622,0.8948518907496226,fbii,FBII-SPEX-EBM
Model 3,3,"[(0, 1), (1, 2), (0, 1, 2)]",147.6739530712366,0.0656026612023436,0.2561301645693916,0.2071550386917769,0.9034439623043304,fbii,FBII-SPEX-EBM
Model 4,4,"[(0, 1), (1, 2), (0, 1, 2), (1, 3)]",162.5548009350896,0.0695125704050468,0.2636523665834366,0.2148972237992618,0.897689236300176,fbii,FBII-SPEX-EBM
Model 5,5,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3)]",227.89709446579215,0.0731090669478041,0.2703868838309361,0.2176078648970267,0.8923958007993855,fbii,FBII-SPEX-EBM
Model 6,6,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3)]",223.35426814854145,0.0737519708274028,0.2715731408431305,0.221147119151604,0.8914495548682677,fbii,FBII-SPEX-EBM
Model 7,7,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3), (0, 3)]",401.0804392695427,0.0755196995960892,0.2748084780280427,0.2237991679514289,0.8888477566714148,fbii,FBII-SPEX-EBM
Model 8,8,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3), (0, 3), (2, 4)]",344.1713567599654,0.0733614563629471,0.2708532007618649,0.2215986268988849,0.8920243262061923,fbii,FBII-SPEX-EBM
Model 9,9,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3), (0, 3), (2, 4), (0, 2)]",323.7046778574586,0.0724993232847129,0.269256983725052,0.2209029758316666,0.8932932404922135,fbii,FBII-SPEX-EBM
Model 10,10,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3), (0, 3), (2, 4), (0, 2), (0, 1, 4)]",945.1188144609332,0.0688981853087629,0.262484638233865,0.2112164193416241,0.8985935073987747,fbii,FBII-SPEX-EBM
Model 1,1,"[(0, 1)]",6.1759191527962685,0.069026314569454,0.262728594883492,0.2005524850647862,0.8984049227667117,fourier,FOURIER-SPEX-EBM
Model 2,2,"[(0, 1), (1, 2)]",3.961461834609509,0.0714403361181927,0.2672832507251301,0.2098611463655622,0.8948518907496226,fourier,FOURIER-SPEX-EBM
Model 3,3,"[(0, 1), (1, 2), (1, 3)]",4.072149030864239,0.0735853942291411,0.271266279196551,0.2163965890918646,0.8916947274878869,fourier,FOURIER-SPEX-EBM
Model 4,4,"[(0, 1), (1, 2), (1, 3), (2, 3)]",4.546573147177696,0.0708449309919429,0.2661671110260299,0.2172113002188932,0.895728226537847,fourier,FOURIER-SPEX-EBM
Model 5,5,"[(0, 1), (1, 2), (1, 3), (2, 3), (0, 3)]",4.284252017736435,0.0707480898903777,0.2659851309573107,0.2144498363159312,0.8958707602839153,fourier,FOURIER-SPEX-EBM
Model 6,6,"[(0, 1), (1, 2), (1, 3), (2, 3), (0, 3), (0, 1, 2)]",192.8229473158717,0.0700179281438432,0.2646090099445657,0.2187088139289422,0.8969454350582338,fourier,FOURIER-SPEX-EBM
Model 7,7,"[(0, 1), (1, 2), (1, 3), (2, 3), (0, 3), (0, 1, 2), (0, 1, 3)]",256.9688452333212,0.0736963931407327,0.2714707961102496,0.2224124344060493,0.8915313558365638,fourier,FOURIER-SPEX-EBM
Model 8,8,"[(0, 1), (1, 2), (1, 3), (2, 3), (0, 3), (0, 1, 2), (0, 1, 3), (0, 4)]",638.5255209133029,0.0755314540857607,0.274829863889936,0.2226997087402066,0.8888304560478271,fourier,FOURIER-SPEX-EBM
Model 9,9,"[(0, 1), (1, 2), (1, 3), (2, 3), (0, 3), (0, 1, 2), (0, 1, 3), (0, 4), (0, 2)]",325.1015882343054,0.0764508249932937,0.276497423122339,0.2254054292805364,0.8874772973439407,fourier,FOURIER-SPEX-EBM
Model 10,10,"[(0, 1), (1, 2), (1, 3), (2, 3), (0, 3), (0, 1, 2), (0, 1, 3), (0, 4), (0, 2), (1, 4)]",363.3350026160479,0.0765664440190331,0.2767064220776835,0.2250902369776763,0.8873071256648803,fourier,FOURIER-SPEX-EBM
Model 1,1,"[(0, 1)]",4.3820328041911125,0.069026314569454,0.262728594883492,0.2005524850647862,0.8984049227667117,fsii,FSII-SPEX-EBM
Model 2,2,"[(0, 1), (1, 2)]",3.528337724506855,0.0714403361181927,0.2672832507251301,0.2098611463655622,0.8948518907496226,fsii,FSII-SPEX-EBM
Model 3,3,"[(0, 1), (1, 2), (0, 1, 2)]",145.68585503846407,0.0656026612023436,0.2561301645693916,0.2071550386917769,0.9034439623043304,fsii,FSII-SPEX-EBM
Model 4,4,"[(0, 1), (1, 2), (0, 1, 2), (1, 3)]",170.52851792424917,0.0695125704050468,0.2636523665834366,0.2148972237992618,0.897689236300176,fsii,FSII-SPEX-EBM
Model 5,5,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3)]",229.63938998430967,0.0731090669478041,0.2703868838309361,0.2176078648970267,0.8923958007993855,fsii,FSII-SPEX-EBM
Model 6,6,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3)]",208.7454440444708,0.0737519708274028,0.2715731408431305,0.221147119151604,0.8914495548682677,fsii,FSII-SPEX-EBM
Model 7,7,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3), (0, 3)]",406.35199174284935,0.0755196995960892,0.2748084780280427,0.2237991679514289,0.8888477566714148,fsii,FSII-SPEX-EBM
Model 8,8,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3), (0, 3), (0, 2)]",461.93966344743967,0.07249247015271,0.2692442574182596,0.2214343869109332,0.8933033271451004,fsii,FSII-SPEX-EBM
Model 9,9,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3), (0, 3), (0, 2), (2, 4)]",346.0564413368702,0.0722155454252757,0.2687295023351096,0.2207119833967422,0.8937109135742323,fsii,FSII-SPEX-EBM
Model 10,10,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3), (0, 3), (0, 2), (2, 4), (1, 4)]",724.4835177138448,0.0709294230037187,0.2663257835879184,0.2186989805941497,0.8956038685663182,fsii,FSII-SPEX-EBM
Model 1,1,"[(0, 1)]",6.964743465185165,0.069026314569454,0.262728594883492,0.2005524850647862,0.8984049227667117,mobius,MOBIUS-SPEX-EBM
Model 2,2,"[(0, 1), (1, 2)]",3.618717111647129,0.0714403361181927,0.2672832507251301,0.2098611463655622,0.8948518907496226,mobius,MOBIUS-SPEX-EBM
Model 3,3,"[(0, 1), (1, 2), (0, 1, 2)]",151.59615882486105,0.0656026612023436,0.2561301645693916,0.2071550386917769,0.9034439623043304,mobius,MOBIUS-SPEX-EBM
Model 4,4,"[(0, 1), (1, 2), (0, 1, 2), (1, 3)]",163.9745812267065,0.0695125704050468,0.2636523665834366,0.2148972237992618,0.897689236300176,mobius,MOBIUS-SPEX-EBM
Model 5,5,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3)]",234.9425274580717,0.0731090669478041,0.2703868838309361,0.2176078648970267,0.8923958007993855,mobius,MOBIUS-SPEX-EBM
Model 6,6,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3)]",208.23398335278037,0.0737519708274028,0.2715731408431305,0.221147119151604,0.8914495548682677,mobius,MOBIUS-SPEX-EBM
Model 7,7,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3), (0, 3)]",464.1916723921895,0.0755196995960892,0.2748084780280427,0.2237991679514289,0.8888477566714148,mobius,MOBIUS-SPEX-EBM
Model 8,8,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3), (0, 3), (0, 2)]",294.70059229433537,0.07249247015271,0.2692442574182596,0.2214343869109332,0.8933033271451004,mobius,MOBIUS-SPEX-EBM
Model 9,9,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3), (0, 3), (0, 2), (2, 4)]",294.78260923177004,0.0722155454252757,0.2687295023351096,0.2207119833967422,0.8937109135742323,mobius,MOBIUS-SPEX-EBM
Model 10,10,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3), (0, 3), (0, 2), (2, 4), (0, 1, 4)]",913.9698902070522,0.0692020266157089,0.2630627807495939,0.2115945906565094,0.8981463043105268,mobius,MOBIUS-SPEX-EBM
Model 1,1,"[(0, 1)]",5.877063035964966,0.069026314569454,0.262728594883492,0.2005524850647862,0.8984049227667117,sii,SII-SPEX-EBM
Model 2,2,"[(0, 1), (1, 2)]",3.6678726375103,0.0714403361181927,0.2672832507251301,0.2098611463655622,0.8948518907496226,sii,SII-SPEX-EBM
Model 3,3,"[(0, 1), (1, 2), (0, 1, 2)]",143.80331111699343,0.0656026612023436,0.2561301645693916,0.2071550386917769,0.9034439623043304,sii,SII-SPEX-EBM
Model 4,4,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3)]",179.97454968839884,0.0702989742960246,0.265139537406296,0.2144472906256638,0.8965317825879391,sii,SII-SPEX-EBM
Model 5,5,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3), (1, 3)]",748.0339673534036,0.0726534383537899,0.2695430176313048,0.2177293839278133,0.893066409138934,sii,SII-SPEX-EBM
Model 6,6,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3), (1, 3), (2, 3)]",210.6331976428628,0.0728383983449936,0.2698858987516644,0.2225551693073356,0.8927941792696643,sii,SII-SPEX-EBM
Model 7,7,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3), (1, 3), (2, 3), (0, 3)]",231.0565696805716,0.0749409323559708,0.2737534152407434,0.2231482767859904,0.8896996043012163,sii,SII-SPEX-EBM
Model 8,8,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3), (1, 3), (2, 3), (0, 3), (0, 2)]",263.6408043280244,0.0723348383614959,0.2689513680230981,0.2213287518117138,0.8935353345194287,sii,SII-SPEX-EBM
Model 9,9,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3), (1, 3), (2, 3), (0, 3), (0, 2), (0, 4)]",277.3954527527094,0.0759611185892746,0.2756104471700495,0.2235385904923378,0.8881980624644354,sii,SII-SPEX-EBM
Model 10,10,"[(0, 1), (1, 2), (0, 1, 2), (0, 1, 3), (1, 3), (2, 3), (0, 3), (0, 2), (0, 4), (1, 4)]",350.8036305755377,0.0737673597736486,0.2716014723333595,0.2214327259663303,0.8914269049384237,sii,SII-SPEX-EBM
Model 1,1,"[(0, 1)]",4.515617914497852,0.069026314569454,0.262728594883492,0.2005524850647862,0.8984049227667117,stii,STII-SPEX-EBM
Model 2,2,"[(0, 1), (1, 2)]",2.755645126104355,0.0714403361181927,0.2672832507251301,0.2098611463655622,0.8948518907496226,stii,STII-SPEX-EBM
Model 3,3,"[(0, 1), (1, 2), (0, 1, 2)]",141.56481452286243,0.0656026612023436,0.2561301645693916,0.2071550386917769,0.9034439623043304,stii,STII-SPEX-EBM
Model 4,4,"[(0, 1), (1, 2), (0, 1, 2), (1, 3)]",159.50221755355597,0.0695125704050468,0.2636523665834366,0.2148972237992618,0.897689236300176,stii,STII-SPEX-EBM
Model 5,5,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3)]",223.9409875497222,0.0731090669478041,0.2703868838309361,0.2176078648970267,0.8923958007993855,stii,STII-SPEX-EBM
Model 6,6,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3)]",203.36927434802053,0.0737519708274028,0.2715731408431305,0.221147119151604,0.8914495548682677,stii,STII-SPEX-EBM
Model 7,7,"[(0, 1), (1, 2), (0, 1, 2), (1, 3), (0, 1, 3), (2, 3), (0, 3)]",410.3397139459848,0.0755196995960892,0.2748084780280427,0.2237991679514289,0.8888477566714148,stii,STII-SPEX-EBM
