Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(0, 1)]",5.070724297314882,0.0790817291494961,0.2812147384997738,0.231275721946431,0.8889927169769978,bii,BII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 1, 2)]",2311.502688053996,0.0942650680975927,0.307026168424766,0.2455937773505231,0.8676798142120704,bii,BII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 1, 2), (0, 1, 4)]",1112.3628168925643,0.0899448296902217,0.2999080353878864,0.2408354040791968,0.8737441470582489,bii,BII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 1, 2), (0, 1, 4), (0, 1, 3)]",1297.44816884771,0.095193180648962,0.308533921391088,0.2485494624337153,0.8663770195744837,bii,BII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 1, 2), (0, 1, 4), (0, 1, 3), (1, 2)]",2314.4316487051547,0.0956210032582635,0.3092264595054302,0.2487864269377258,0.8657764835722348,bii,BII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 1, 2), (0, 1, 4), (0, 1, 3), (1, 2), (0, 2)]",2680.430348560214,0.0971429828281369,0.311677690616664,0.250490063051525,0.8636400758496775,bii,BII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 1, 2), (0, 1, 4), (0, 1, 3), (1, 2), (0, 2), (0, 4)]",2838.646429348737,0.0965709380826944,0.3107586492484069,0.2497370896381052,0.8644430569382564,bii,BII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 1, 2), (0, 1, 4), (0, 1, 3), (1, 2), (0, 2), (0, 4), (0, 2, 4)]",2165.173326291144,0.0960933022967666,0.3099891970646182,0.2495648161338081,0.8651135158601921,bii,BII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 1, 2), (0, 1, 4), (0, 1, 3), (1, 2), (0, 2), (0, 4), (0, 2, 4), (0, 3)]",4299.197049777955,0.0978349049849978,0.3127857173609399,0.2512333038548502,0.8626688224448443,bii,BII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 1, 2), (0, 1, 4), (0, 1, 3), (1, 2), (0, 2), (0, 4), (0, 2, 4), (0, 3), (1, 3)]",2079.405480172485,0.0994752876004494,0.3153970316925152,0.2529251700092015,0.8603662119782064,bii,BII-SPEX-EBM
Model 1,1,"[(0, 1)]",5.301509570330381,0.0790817291494961,0.2812147384997738,0.231275721946431,0.8889927169769978,fbii,FBII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 1, 2)]",2278.0589955188334,0.0942650680975927,0.307026168424766,0.2455937773505231,0.8676798142120704,fbii,FBII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 1, 2), (0, 1, 3)]",1116.673620570451,0.0970174381150994,0.3114762239964704,0.2496943886915953,0.863816303375834,fbii,FBII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 1, 2), (0, 1, 3), (0, 4)]",976.737691193819,0.0962304307877763,0.3102103009053316,0.2476004020129359,0.8649210281468387,fbii,FBII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 1, 2), (0, 1, 3), (0, 4), (0, 1, 4)]",878.889213424176,0.0943208989927187,0.3071170770125274,0.2460260710285715,0.8676014442011548,fbii,FBII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 1, 2), (0, 1, 3), (0, 4), (0, 1, 4), (1, 2)]",2286.701197400689,0.0961390521350039,0.3100629809167872,0.2483949652738953,0.8650492966619515,fbii,FBII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 1, 2), (0, 1, 3), (0, 4), (0, 1, 4), (1, 2), (1, 3)]",2737.028731647879,0.0984953046209448,0.3138396160795268,0.252890197721429,0.8617418173061824,fbii,FBII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 1, 2), (0, 1, 3), (0, 4), (0, 1, 4), (1, 2), (1, 3), (0, 2)]",2168.955728210509,0.0969807539007022,0.3114173307648472,0.2496427998338995,0.863867797128106,fbii,FBII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 1, 2), (0, 1, 3), (0, 4), (0, 1, 4), (1, 2), (1, 3), (0, 2), (0, 2, 4)]",1327.1479349173603,0.0967320935969061,0.311017834853415,0.2508816929694609,0.8642168424134955,fbii,FBII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 1, 2), (0, 1, 3), (0, 4), (0, 1, 4), (1, 2), (1, 3), (0, 2), (0, 2, 4), (1, 2, 3)]",695.1456398330629,0.1008702240680235,0.317600730584839,0.256548530362844,0.8584081350757354,fbii,FBII-SPEX-EBM
Model 1,1,"[(0, 1)]",3.393660943955183,0.0790817291494961,0.2812147384997738,0.231275721946431,0.8889927169769978,fourier,FOURIER-SPEX-EBM
Model 2,2,"[(0, 1), (0, 4)]",6.532302957028151,0.0761556789660134,0.2759631840771762,0.2295068866167394,0.8931000232328252,fourier,FOURIER-SPEX-EBM
Model 3,3,"[(0, 1), (0, 4), (1, 2)]",27.05101791769266,0.082722089481213,0.2876144806528576,0.2356347863621016,0.8838827312192928,fourier,FOURIER-SPEX-EBM
Model 4,4,"[(0, 1), (0, 4), (1, 2), (0, 1, 2)]",1514.4620441906154,0.0946954439256081,0.3077262483533184,0.2461921702125699,0.8670756942483244,fourier,FOURIER-SPEX-EBM
