Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(0, 1)]",12.88275720924139,0.0749615292105694,0.273791032012682,0.2333895882260113,0.8609693147851134,bii,BII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 1, 3)]",117.57098773866892,0.074717137366557,0.2733443567490593,0.2330961791596517,0.8614225868286778,bii,BII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 1, 3), (0, 1, 2)]",445.5605354942381,0.0763566962476464,0.2763271543798156,0.2360889854098174,0.8583817070989207,bii,BII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3)]",1144.7999852709472,0.0764675429614641,0.2765276531587106,0.2360614057866796,0.8581761203834655,bii,BII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2)]",382.6866148859263,0.0777152947523693,0.2787746307546103,0.238478873815602,0.8558619228438136,bii,BII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3)]",1288.1698657982051,0.07672098435196,0.2769855309433328,0.2373113885981353,0.8577060642019345,bii,BII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3), (0, 1, 4)]",1315.3455221541226,0.0766243635724256,0.2768110611453697,0.2342702216057339,0.8578852661649432,bii,BII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3), (0, 1, 4), (0, 4)]",1512.8216319456697,0.0779975691955905,0.2792804490034891,0.2363474174064378,0.8553383901774849,bii,BII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3), (0, 1, 4), (0, 4), (1, 2)]",581.3013721816242,0.0770126887108209,0.2775116010382645,0.2361581451055668,0.8571650419293141,bii,BII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3), (0, 1, 4), (0, 4), (1, 2), (1, 4)]",2097.66898932308,0.0771120864063834,0.2776906307500912,0.2351656566042312,0.8569806896373,bii,BII-SPEX-EBM
Model 1,1,"[(0, 1)]",14.149568293243648,0.0749615292105694,0.273791032012682,0.2333895882260113,0.8609693147851134,fbii,FBII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 1, 2)]",2079.311753820628,0.0782652261102076,0.2797592288204406,0.2378864188526924,0.8548419685511705,fbii,FBII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 1, 2), (0, 2)]",1962.9684294871984,0.0783756485650192,0.2799565119175106,0.2382698858304395,0.8546371687062734,fbii,FBII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 1, 2), (0, 2), (0, 3)]",256.48294173553586,0.0769161866315794,0.27733767618479,0.236782184332309,0.8573440237396226,fbii,FBII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 1, 2), (0, 2), (0, 3), (0, 1, 3)]",462.3063998557627,0.0770412637326564,0.2775630806369183,0.2382157014337891,0.8571120440128139,fbii,FBII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 1, 2), (0, 2), (0, 3), (0, 1, 3), (1, 3)]",438.5390481613576,0.0761836900710633,0.2760139309365803,0.2360635629074118,0.8587025805860289,fbii,FBII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 1, 2), (0, 2), (0, 3), (0, 1, 3), (1, 3), (0, 4)]",407.9862199053168,0.0771605932386572,0.2777779567184142,0.2372940660927728,0.8568907243150923,fbii,FBII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 1, 2), (0, 2), (0, 3), (0, 1, 3), (1, 3), (0, 4), (1, 2)]",649.8188734799623,0.0762436562284296,0.2761225384289186,0.2356739548359548,0.8585913617243522,fbii,FBII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 1, 2), (0, 2), (0, 3), (0, 1, 3), (1, 3), (0, 4), (1, 2), (1, 4)]",668.7315019927919,0.077780138707693,0.2788909082557068,0.2372278730929887,0.8557416571603937,fbii,FBII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 1, 2), (0, 2), (0, 3), (0, 1, 3), (1, 3), (0, 4), (1, 2), (1, 4), (2, 3)]",980.3237854875624,0.0784859767627036,0.2801534878646055,0.23737500293546,0.854432543679488,fbii,FBII-SPEX-EBM
Model 1,1,"[(0, 1)]",14.096292283385992,0.0749615292105694,0.273791032012682,0.2333895882260113,0.8609693147851134,fourier,FOURIER-SPEX-EBM
Model 2,2,"[(0, 1), (1, 3)]",8.888993218541145,0.0751746351055229,0.2741799319890552,0.2338830822875624,0.8605740685980261,fourier,FOURIER-SPEX-EBM
Model 3,3,"[(0, 1), (1, 3), (0, 1, 3)]",258.1213880106807,0.0756589485093395,0.2750617176368596,0.2340286889524381,0.8596758155194073,fourier,FOURIER-SPEX-EBM
Model 4,4,"[(0, 1), (1, 3), (0, 1, 3), (0, 3)]",342.79868035390973,0.0751637363026148,0.2741600559939666,0.2336574930466874,0.8605942825404616,fourier,FOURIER-SPEX-EBM
Model 5,5,"[(0, 1), (1, 3), (0, 1, 3), (0, 3), (0, 1, 2)]",1531.1736385039983,0.0767509264807233,0.2770395756579254,0.2370667569908469,0.8576505307206594,fourier,FOURIER-SPEX-EBM
Model 6,6,"[(0, 1), (1, 3), (0, 1, 3), (0, 3), (0, 1, 2), (0, 2)]",551.8325193226337,0.0765812186498118,0.2767331180936098,0.2370794975140804,0.8579652867864234,fourier,FOURIER-SPEX-EBM
Model 7,7,"[(0, 1), (1, 3), (0, 1, 3), (0, 3), (0, 1, 2), (0, 2), (0, 4)]",1333.7102645114064,0.0770996636973539,0.2776682619554384,0.2360918078832296,0.8570037299590062,fourier,FOURIER-SPEX-EBM
Model 8,8,"[(0, 1), (1, 3), (0, 1, 3), (0, 3), (0, 1, 2), (0, 2), (0, 4), (1, 4)]",711.4137004129589,0.0760331922058213,0.2757411688627966,0.2337459136888309,0.8589817080471189,fourier,FOURIER-SPEX-EBM
Model 9,9,"[(0, 1), (1, 3), (0, 1, 3), (0, 3), (0, 1, 2), (0, 2), (0, 4), (1, 4), (2, 3)]",1142.846365571022,0.0777189287701873,0.2787811485201023,0.236301709532703,0.8558551828534127,fourier,FOURIER-SPEX-EBM
Model 1,1,"[(0, 1)]",18.6411448456347,0.0749615292105694,0.273791032012682,0.2333895882260113,0.8609693147851134,fsii,FSII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 1, 3)]",203.02843296527865,0.074717137366557,0.2733443567490593,0.2330961791596517,0.8614225868286778,fsii,FSII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 1, 3), (0, 1, 2)]",741.4417631551623,0.0763566962476464,0.2763271543798156,0.2360889854098174,0.8583817070989207,fsii,FSII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3)]",1444.3924023471773,0.0764675429614641,0.2765276531587106,0.2360614057866796,0.8581761203834655,fsii,FSII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2)]",578.9492038376629,0.0777152947523693,0.2787746307546103,0.238478873815602,0.8558619228438136,fsii,FSII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3)]",1852.66037555784,0.07672098435196,0.2769855309433328,0.2373113885981353,0.8577060642019345,fsii,FSII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3), (0, 4)]",802.8489520102739,0.07716334412159,0.2777829082603716,0.2369767396917483,0.856885622269508,fsii,FSII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3), (0, 4), (1, 2)]",917.4940442331136,0.0767230893014495,0.2769893306635646,0.2362649409260531,0.8577021601651178,fsii,FSII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3), (0, 4), (1, 2), (1, 4)]",650.358064647764,0.0775113203095556,0.2784085492752614,0.2373179479345952,0.8562402329830191,fsii,FSII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3), (0, 4), (1, 2), (1, 4), (2, 3)]",980.10837655887,0.0779618458068401,0.2792164855570676,0.2364435332312326,0.8554046461259488,fsii,FSII-SPEX-EBM
Model 1,1,"[(0, 1)]",17.97830993682146,0.0749615292105694,0.273791032012682,0.2333895882260113,0.8609693147851134,mobius,MOBIUS-SPEX-EBM
Model 2,2,"[(0, 1), (0, 2)]",16.251444827765226,0.0778090560782113,0.2789427469539428,0.2383841820012055,0.8556880242919064,mobius,MOBIUS-SPEX-EBM
Model 3,3,"[(0, 1), (0, 2), (0, 3)]",7.2271220497787,0.0759766589404411,0.2756386383300446,0.2369678319864584,0.8590865599452328,mobius,MOBIUS-SPEX-EBM
Model 4,4,"[(0, 1), (0, 2), (0, 3), (0, 1, 3)]",296.86939983069897,0.0760737614774045,0.2758147230975977,0.2357092915414763,0.8589064644696962,mobius,MOBIUS-SPEX-EBM
Model 5,5,"[(0, 1), (0, 2), (0, 3), (0, 1, 3), (1, 3)]",567.0876451544464,0.0765442533414321,0.2766663212995613,0.2362455763911276,0.858033846115553,mobius,MOBIUS-SPEX-EBM
Model 6,6,"[(0, 1), (0, 2), (0, 3), (0, 1, 3), (1, 3), (0, 1, 2)]",1514.6252825558186,0.0770201361573644,0.277525018975523,0.237796585381815,0.8571512291962102,mobius,MOBIUS-SPEX-EBM
Model 7,7,"[(0, 1), (0, 2), (0, 3), (0, 1, 3), (1, 3), (0, 1, 2), (0, 4)]",686.9486297480762,0.0773105217412478,0.2780476968817542,0.2371358326540838,0.8566126528473949,mobius,MOBIUS-SPEX-EBM
Model 8,8,"[(0, 1), (0, 2), (0, 3), (0, 1, 3), (1, 3), (0, 1, 2), (0, 4), (1, 2)]",1067.1111650429666,0.0769771401275012,0.2774475448215414,0.2363583934241063,0.8572309736672256,mobius,MOBIUS-SPEX-EBM
Model 9,9,"[(0, 1), (0, 2), (0, 3), (0, 1, 3), (1, 3), (0, 1, 2), (0, 4), (1, 2), (1, 4)]",619.7007622532547,0.0777389607140185,0.2788170739284424,0.2376419810375605,0.8558180297309195,mobius,MOBIUS-SPEX-EBM
Model 10,10,"[(0, 1), (0, 2), (0, 3), (0, 1, 3), (1, 3), (0, 1, 2), (0, 4), (1, 2), (1, 4), (2, 3)]",1527.119666106999,0.0777586441626973,0.2788523698351823,0.2365422731086749,0.8557815229602329,mobius,MOBIUS-SPEX-EBM
Model 1,1,"[(0, 1)]",14.13137650117278,0.0749615292105694,0.273791032012682,0.2333895882260113,0.8609693147851134,sii,SII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 1, 3)]",165.4999746903777,0.074717137366557,0.2733443567490593,0.2330961791596517,0.8614225868286778,sii,SII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 1, 3), (0, 1, 2)]",620.9666153267026,0.0763566962476464,0.2763271543798156,0.2360889854098174,0.8583817070989207,sii,SII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3)]",1326.988170005381,0.0764675429614641,0.2765276531587106,0.2360614057866796,0.8581761203834655,sii,SII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2)]",501.8504917286336,0.0777152947523693,0.2787746307546103,0.238478873815602,0.8558619228438136,sii,SII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3)]",1265.0457404218614,0.07672098435196,0.2769855309433328,0.2373113885981353,0.8577060642019345,sii,SII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3), (0, 1, 4)]",1766.038461405784,0.0766243635724256,0.2768110611453697,0.2342702216057339,0.8578852661649432,sii,SII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3), (0, 1, 4), (0, 4)]",1807.4734683781865,0.0779975691955905,0.2792804490034891,0.2363474174064378,0.8553383901774849,sii,SII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3), (0, 1, 4), (0, 4), (1, 2)]",823.3487841561437,0.0770126887108209,0.2775116010382645,0.2361581451055668,0.8571650419293141,sii,SII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 1, 3), (0, 1, 2), (1, 3), (0, 2), (0, 3), (0, 1, 4), (0, 4), (1, 2), (1, 4)]",1854.124192327261,0.0771120864063834,0.2776906307500912,0.2351656566042312,0.8569806896373,sii,SII-SPEX-EBM
Model 1,1,"[(0, 1)]",18.546974439173937,0.0749615292105694,0.273791032012682,0.2333895882260113,0.8609693147851134,stii,STII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 1, 3)]",168.51600677892566,0.074717137366557,0.2733443567490593,0.2330961791596517,0.8614225868286778,stii,STII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 1, 3), (1, 3)]",1610.2512729987502,0.0756639142183341,0.2750707440247584,0.2349538735429183,0.8596666056496064,stii,STII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 1, 3), (1, 3), (0, 2)]",398.0056052133441,0.0760267779871676,0.2757295377488013,0.235706291471269,0.8589936044588374,stii,STII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 1, 3), (1, 3), (0, 2), (0, 1, 2)]",389.3543555922806,0.0777864922643679,0.2789022987792822,0.2395199392933737,0.8557298732580726,stii,STII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 1, 3), (1, 3), (0, 2), (0, 1, 2), (0, 3)]",445.85537987202406,0.0763561014381036,0.2763260780999573,0.2373290166069749,0.8583828102885057,stii,STII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 1, 3), (1, 3), (0, 2), (0, 1, 2), (0, 3), (0, 4)]",575.8436162918806,0.0778081530442656,0.278941128276677,0.2378661270147425,0.8556896991433878,stii,STII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 1, 3), (1, 3), (0, 2), (0, 1, 2), (0, 3), (0, 4), (1, 2)]",740.9811894334853,0.0772697432827043,0.2779743572394842,0.2369745038792208,0.8566882844025807,stii,STII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 1, 3), (1, 3), (0, 2), (0, 1, 2), (0, 3), (0, 4), (1, 2), (1, 4)]",1076.6472703032196,0.0774010509598464,0.278210443657039,0.237401361651085,0.8564447488648284,stii,STII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 1, 3), (1, 3), (0, 2), (0, 1, 2), (0, 3), (0, 4), (1, 2), (1, 4), (2, 3)]",1152.7483244165778,0.0783597480625847,0.2799281123120447,0.2373342092901178,0.8546666592699268,stii,STII-SPEX-EBM
Model 1,1,"[(0, 2)]",7.337899502366781,0.077361749665241,0.2781398023750664,0.2373153383664194,0.8565176407331823,,Baseline-EBM
Model 1,1,"[(3, 5)]",5.390547547489405,0.0782038392595893,0.2796494935800695,0.2373735146113076,0.8549558223638465,,RuleFit-Support-EBM
Model 2,2,"[(0, 2), (2, 5)]",8.377305182046257,0.0775069402340754,0.2784006828908208,0.2377132296896652,0.8562483566819581,,Baseline-EBM
Model 2,2,"[(3, 5), (3, 4)]",4.06260567100253,0.0766433194852924,0.276845298831843,0.2350381693516955,0.8578501087504331,,RuleFit-Support-EBM
Model 3,3,"[(0, 2), (1, 9), (2, 5)]",11.755768061149864,0.0762936263526993,0.2762130090214784,0.2373792711215511,0.8584986824435178,,Baseline-EBM
Model 3,3,"[(3, 5), (3, 4), (0, 1, 6)]",661.4768014880829,0.0771725367419674,0.2777994541786708,0.2351872059604272,0.8568685727732737,,RuleFit-Support-EBM
Model 4,4,"[(0, 1), (0, 2), (1, 9), (2, 5)]",10.455758417025208,0.0766784890961137,0.2769088100731244,0.2391866288801883,0.8577848798904738,,Baseline-EBM
Model 4,4,"[(3, 5), (3, 4), (0, 1, 6), (3, 9)]",305.4920127929654,0.0743413031666679,0.2726560161937894,0.2283453747634708,0.8621196441978116,,RuleFit-Support-EBM
Model 5,5,"[(0, 1), (0, 2), (1, 9), (2, 5), (2, 6)]",16.818422878161073,0.0756312241941881,0.2750113164838643,0.2371668113634788,0.8597272356354747,,Baseline-EBM
Model 5,5,"[(3, 5), (3, 4), (0, 1, 6), (3, 9), (2, 3)]",472.0773305334151,0.0756159667457925,0.2749835754109553,0.2325289073312772,0.859755533530774,,RuleFit-Support-EBM
Model 6,6,"[(0, 1), (0, 2), (0, 5), (1, 9), (2, 5), (2, 6)]",13.04531199671328,0.0759625090572197,0.2756129696825236,0.2365622671626696,0.8591128036462445,,Baseline-EBM
Model 6,6,"[(3, 5), (3, 4), (0, 1, 6), (3, 9), (2, 3), (0, 4)]",989.8642639070748,0.0765378238000744,0.2766547013879838,0.2337092834539555,0.8580457709461959,,RuleFit-Support-EBM
Model 7,7,"[(0, 1), (0, 2), (0, 5), (1, 2), (1, 9), (2, 5), (2, 6)]",11.947764225304129,0.0770681344640548,0.2776114811459621,0.2383213327302414,0.8570622070332606,,Baseline-EBM
Model 7,7,"[(3, 5), (3, 4), (0, 1, 6), (3, 9), (2, 3), (0, 4), (0, 1)]",534.2400864064693,0.0758375930896062,0.2753862616210297,0.232176747607103,0.8593444845198136,,RuleFit-Support-EBM
Model 8,8,"[(0, 1), (0, 2), (0, 5), (1, 2), (1, 4), (1, 9), (2, 5), (2, 6)]",14.301843920722604,0.0767198516518321,0.2769834862439134,0.2364481163753059,0.8577081650138652,,Baseline-EBM
Model 8,8,"[(3, 5), (3, 4), (0, 1, 6), (3, 9), (2, 3), (0, 4), (0, 1), (1, 3, 4)]",754.7397697921842,0.0754038434996324,0.2745976028657796,0.2319722609896755,0.8601489572052138,,RuleFit-Support-EBM
Model 9,9,"[(0, 1), (0, 2), (0, 5), (1, 2), (1, 4), (1, 9), (2, 5), (2, 6), (8, 9)]",9.854009214788675,0.0746304641029601,0.273185768485403,0.2334850375764874,0.8615833391953195,,Baseline-EBM
Model 9,9,"[(3, 5), (3, 4), (0, 1, 6), (3, 9), (2, 3), (0, 4), (0, 1), (1, 3, 4), (4, 6)]",1098.3379669822752,0.077379423815455,0.278171572622824,0.2357773395508037,0.8564848605959475,,RuleFit-Support-EBM
Model 10,10,"[(0, 1), (0, 2), (0, 5), (0, 7), (1, 2), (1, 4), (1, 9), (2, 5), (2, 6), (8, 9)]",12.212405402213337,0.0748834343182699,0.2736483771526334,0.2333133071248838,0.8611141568994958,,Baseline-EBM
Model 10,10,"[(3, 5), (3, 4), (0, 1, 6), (3, 9), (2, 3), (0, 4), (0, 1), (1, 3, 4), (4, 6), (1, 9)]",1146.8796858154235,0.0761848978098254,0.2760161187500205,0.2344162218685684,0.8587003406004066,,RuleFit-Support-EBM
