Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(0, 1)]",7.103992477059364,0.0621579302781624,0.2493149218922976,0.2050665326324484,0.9275948208422848,bii,BII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 2)]",5.001098580658436,0.0631502357890968,0.2512971066070933,0.2058238281559002,0.9264389255610734,bii,BII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 2), (1, 2)]",14.000836703926325,0.0712737015293955,0.2669713496414841,0.2126583444650977,0.9169762393088812,bii,BII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 2), (1, 2), (1, 3)]",5.708266634494066,0.0733414238867421,0.2708162179167675,0.2224024773436252,0.91456763581996,bii,BII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4)]",17.39700884371996,0.0741097120509923,0.272230990247239,0.2205134274170182,0.913672688997755,bii,BII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (0, 3)]",15.416856829077004,0.0715347297979167,0.2674597722984089,0.2126971699124673,0.9166721783714766,bii,BII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (0, 3), (1, 2, 4)]",1099.298072129488,0.0895539953821043,0.2992557357547293,0.2471546580535294,0.895682287828549,bii,BII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (0, 3), (1, 2, 4), (0, 2, 3)]",1468.0968569740653,0.0829298421089251,0.2879754192790161,0.2395686425147667,0.9033984875534488,bii,BII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (0, 3), (1, 2, 4), (0, 2, 3), (3, 4)]",2071.7103014700115,0.0774249144094835,0.2782533277599452,0.2323949844451545,0.9098109481122968,bii,BII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (0, 3), (1, 2, 4), (0, 2, 3), (3, 4), (0, 1, 2)]",1508.025668978691,0.072807769618535,0.2698291489415758,0.2228922614628296,0.9151892674078348,bii,BII-SPEX-EBM
Model 1,1,"[(0, 1)]",5.370845653116703,0.0621579302781624,0.2493149218922976,0.2050665326324484,0.9275948208422848,fbii,FBII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 2)]",4.26835123822093,0.0631502357890968,0.2512971066070933,0.2058238281559002,0.9264389255610734,fbii,FBII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 2), (1, 2)]",12.874529786407948,0.0712737015293955,0.2669713496414841,0.2126583444650977,0.9169762393088812,fbii,FBII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 2), (1, 2), (1, 3)]",4.460458043962717,0.0733414238867421,0.2708162179167675,0.2224024773436252,0.91456763581996,fbii,FBII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4)]",11.167920246720314,0.0741097120509923,0.272230990247239,0.2205134274170182,0.913672688997755,fbii,FBII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (1, 4)]",11.61941559612751,0.0779481799612752,0.279192012710384,0.2253477505047141,0.909201417906658,fbii,FBII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (1, 4), (2, 3)]",10.213653769344091,0.0763565367687692,0.2763268658107084,0.2210162453844634,0.911055456643032,fbii,FBII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (1, 4), (2, 3), (0, 3)]",10.477270778268576,0.0796042815671168,0.2821423072974289,0.2225145802294496,0.9072722942544108,fbii,FBII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (1, 4), (2, 3), (0, 3), (3, 4)]",6.224539455026388,0.0788261500203445,0.2807599508839261,0.2382016989330662,0.9081787072221555,fbii,FBII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (1, 4), (2, 3), (0, 3), (3, 4), (1, 2, 4)]",1426.1263778097928,0.0829522294886298,0.2880142869522792,0.2398505875544068,0.9033724094290464,fbii,FBII-SPEX-EBM
Model 1,1,"[(0, 1)]",5.967129319906235,0.0621579302781624,0.2493149218922976,0.2050665326324484,0.9275948208422848,fourier,FOURIER-SPEX-EBM
Model 2,2,"[(0, 1), (0, 2)]",4.701742481440306,0.0631502357890968,0.2512971066070933,0.2058238281559002,0.9264389255610734,fourier,FOURIER-SPEX-EBM
Model 3,3,"[(0, 1), (0, 2), (1, 2)]",13.08475225418806,0.0712737015293955,0.2669713496414841,0.2126583444650977,0.9169762393088812,fourier,FOURIER-SPEX-EBM
Model 4,4,"[(0, 1), (0, 2), (1, 2), (1, 3)]",5.046973537653685,0.0733414238867421,0.2708162179167675,0.2224024773436252,0.91456763581996,fourier,FOURIER-SPEX-EBM
Model 5,5,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4)]",11.992049556225538,0.0741097120509923,0.272230990247239,0.2205134274170182,0.913672688997755,fourier,FOURIER-SPEX-EBM
Model 6,6,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (3, 4)]",9.043281476944683,0.0745284287041083,0.2729989536685229,0.2314670288557329,0.9131849434414034,fourier,FOURIER-SPEX-EBM
Model 7,7,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (3, 4), (0, 3)]",9.123269617557526,0.0771807327333669,0.2778142054203977,0.2354228117574317,0.9100953851572104,fourier,FOURIER-SPEX-EBM
Model 8,8,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (3, 4), (0, 3), (1, 4)]",5.007164750248194,0.0820940790465719,0.2865206433166238,0.2434964442375489,0.904372033068756,fourier,FOURIER-SPEX-EBM
Model 9,9,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (3, 4), (0, 3), (1, 4), (2, 3)]",6.204611286520958,0.0802347965359749,0.2832574739278294,0.2404089308718167,0.9065378336783024,fourier,FOURIER-SPEX-EBM
Model 10,10,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (3, 4), (0, 3), (1, 4), (2, 3), (2, 4)]",10.618392698466778,0.0807710220127051,0.2842024313982994,0.2399523704061987,0.9059132069969148,fourier,FOURIER-SPEX-EBM
Model 1,1,"[(0, 1)]",4.24511743709445,0.0621579302781624,0.2493149218922976,0.2050665326324484,0.9275948208422848,fsii,FSII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 2)]",4.5705083683133125,0.0631502357890968,0.2512971066070933,0.2058238281559002,0.9264389255610734,fsii,FSII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 2), (1, 3)]",4.69937589019537,0.0733710671475941,0.2708709418664065,0.229060862368376,0.914533105622394,fsii,FSII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 2), (1, 3), (1, 2)]",5.396499201655388,0.0736727028126877,0.271427159312932,0.2207980327705771,0.9141817428232512,fsii,FSII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 2), (1, 3), (1, 2), (2, 3)]",6.364612843841314,0.0721420970362953,0.268592808980984,0.2215029199604115,0.9159646816206592,fsii,FSII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 2), (1, 3), (1, 2), (2, 3), (0, 4)]",12.639004182070494,0.0693415018711148,0.2633277461095105,0.2123720540303774,0.9192269780609637,fsii,FSII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 2), (1, 3), (1, 2), (2, 3), (0, 4), (0, 3)]",10.720756433904173,0.068633664092178,0.2619802742425049,0.2106781206499258,0.9200515087518852,fsii,FSII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 2), (1, 3), (1, 2), (2, 3), (0, 4), (0, 3), (1, 4)]",15.238903798162935,0.080853357381609,0.2843472478882273,0.2282933490876252,0.9058172979614976,fsii,FSII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 2), (1, 3), (1, 2), (2, 3), (0, 4), (0, 3), (1, 4), (3, 4)]",6.884725518524647,0.0805006174404782,0.2837263072760054,0.2394403887502829,0.906228189999237,fsii,FSII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 2), (1, 3), (1, 2), (2, 3), (0, 4), (0, 3), (1, 4), (3, 4), (1, 2, 4)]",1554.075260177255,0.0856912207656331,0.2927306283353916,0.2435006670648889,0.9001818727873765,fsii,FSII-SPEX-EBM
Model 1,1,"[(0, 1)]",5.713385816663504,0.0621579302781624,0.2493149218922976,0.2050665326324484,0.9275948208422848,mobius,MOBIUS-SPEX-EBM
Model 2,2,"[(0, 1), (0, 2)]",5.472953002899885,0.0631502357890968,0.2512971066070933,0.2058238281559002,0.9264389255610734,mobius,MOBIUS-SPEX-EBM
Model 3,3,"[(0, 1), (0, 2), (1, 2)]",18.50941001996398,0.0712737015293955,0.2669713496414841,0.2126583444650977,0.9169762393088812,mobius,MOBIUS-SPEX-EBM
Model 4,4,"[(0, 1), (0, 2), (1, 2), (1, 3)]",5.108344916254282,0.0733414238867421,0.2708162179167675,0.2224024773436252,0.91456763581996,mobius,MOBIUS-SPEX-EBM
Model 5,5,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4)]",11.704417873173952,0.0741097120509923,0.272230990247239,0.2205134274170182,0.913672688997755,mobius,MOBIUS-SPEX-EBM
Model 6,6,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (2, 3)]",4.834207735955715,0.0687269989278156,0.2621583470496708,0.2107952324000463,0.919942786896673,mobius,MOBIUS-SPEX-EBM
Model 7,7,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (2, 3), (1, 4)]",10.207856219261885,0.0769887204872262,0.2774684134946287,0.2209457508796701,0.9103190522101524,mobius,MOBIUS-SPEX-EBM
Model 8,8,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (2, 3), (1, 4), (0, 3)]",9.685274090617895,0.0785359543651943,0.2802426704932608,0.2205216123145792,0.908516744031102,mobius,MOBIUS-SPEX-EBM
Model 9,9,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (2, 3), (1, 4), (0, 3), (3, 4)]",5.882220648229122,0.0773268477061996,0.2780770535412795,0.2358490859224187,0.9099251819226716,mobius,MOBIUS-SPEX-EBM
Model 10,10,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (2, 3), (1, 4), (0, 3), (3, 4), (1, 2, 4)]",1391.3331188336017,0.0834507031355,0.2888783535253205,0.2409156122683358,0.9027917582788952,mobius,MOBIUS-SPEX-EBM
Model 1,1,"[(0, 1)]",6.08217415958643,0.0621579302781624,0.2493149218922976,0.2050665326324484,0.9275948208422848,sii,SII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 2)]",4.161145191639662,0.0631502357890968,0.2512971066070933,0.2058238281559002,0.9264389255610734,sii,SII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 2), (1, 2)]",12.612559262663126,0.0712737015293955,0.2669713496414841,0.2126583444650977,0.9169762393088812,sii,SII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 2), (1, 2), (1, 3)]",6.1675113551318645,0.0733414238867421,0.2708162179167675,0.2224024773436252,0.91456763581996,sii,SII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4)]",12.099655460566282,0.0741097120509923,0.272230990247239,0.2205134274170182,0.913672688997755,sii,SII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (2, 3)]",4.771155126392841,0.0687269989278156,0.2621583470496708,0.2107952324000463,0.919942786896673,sii,SII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (2, 3), (0, 3)]",10.789682567119598,0.0697297643383886,0.2640639398675795,0.2114447534025168,0.9187747073148596,sii,SII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (2, 3), (0, 3), (1, 2, 4)]",1747.9594506062567,0.0884589578086448,0.2974205067049763,0.2469076724315772,0.8969578514024317,sii,SII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (2, 3), (0, 3), (1, 2, 4), (0, 2, 3)]",1656.555723503232,0.0816473355990837,0.2857399790002857,0.2356282713587383,0.904892425868326,sii,SII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 2), (1, 2), (1, 3), (0, 4), (2, 3), (0, 3), (1, 2, 4), (0, 2, 3), (3, 4)]",1642.6151962131262,0.0780425617500529,0.2793609882393261,0.2330601544500767,0.9090914764994216,sii,SII-SPEX-EBM
Model 1,1,"[(0, 1)]",5.445564076304436,0.0621579302781624,0.2493149218922976,0.2050665326324484,0.9275948208422848,stii,STII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 2)]",4.538169756531715,0.0631502357890968,0.2512971066070933,0.2058238281559002,0.9264389255610734,stii,STII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 2), (1, 2)]",14.544286400079727,0.0712737015293955,0.2669713496414841,0.2126583444650977,0.9169762393088812,stii,STII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 2), (1, 2), (1, 3)]",4.895198572427034,0.0733414238867421,0.2708162179167675,0.2224024773436252,0.91456763581996,stii,STII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 2), (1, 2), (1, 3), (2, 3)]",6.732635948807001,0.0718057668586583,0.2679659807861033,0.2220095364377365,0.9163564586096772,stii,STII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 2), (1, 2), (1, 3), (2, 3), (0, 4)]",4.790822200477123,0.0689852048445277,0.2626503471243238,0.2117799112804833,0.9196420135991152,stii,STII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 2), (1, 2), (1, 3), (2, 3), (0, 4), (1, 4)]",11.20481988787651,0.0762161115096765,0.2760726562151285,0.2205484009383502,0.9112190321674644,stii,STII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 2), (1, 2), (1, 3), (2, 3), (0, 4), (1, 4), (0, 3)]",10.799092765897512,0.0784122805992438,0.2800219287828077,0.2213425601621134,0.9086608064402056,stii,STII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 2), (1, 2), (1, 3), (2, 3), (0, 4), (1, 4), (0, 3), (0, 1, 3)]",339.74794514477253,0.0808385230404459,0.2843211617879435,0.2404976200908228,0.905834577866488,stii,STII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 2), (1, 2), (1, 3), (2, 3), (0, 4), (1, 4), (0, 3), (0, 1, 3), (3, 4)]",417.2085725851357,0.0794731946988262,0.2819099052868242,0.2380852565246295,0.9074249918770846,stii,STII-SPEX-EBM
Model 1,1,"[(0, 1)]",6.685901924967766,0.0621579302781624,0.2493149218922976,0.2050665326324484,0.9275948208422848,,Baseline-EBM
Model 1,1,"[(1, 3)]",3.335473161190748,0.0948906495381157,0.3080432591992815,0.268582699322334,0.8894658420984614,,RuleFit-Support-EBM
Model 2,2,"[(0, 1), (1, 4)]",5.095123916864395,0.0727599781032319,0.2697405755596142,0.2231543635879833,0.9152449377496924,,Baseline-EBM
Model 2,2,"[(1, 3), (0, 1)]",3.452704871073365,0.0683094629272541,0.2613607907228131,0.2186658447072786,0.920429157160132,,RuleFit-Support-EBM
Model 3,3,"[(0, 1), (1, 2), (1, 4)]",6.35329520329833,0.0782684105335268,0.2797649201267501,0.2134077024211076,0.9088283946761242,,Baseline-EBM
Model 3,3,"[(1, 3), (0, 1), (0, 1, 3)]",284.93327290192246,0.0784305444751894,0.2800545383942017,0.2374233131063929,0.90863953161326,,RuleFit-Support-EBM
Model 4,4,"[(0, 1), (1, 2), (1, 4), (3, 4)]",23.12928183749318,0.0732149902587153,0.2705826865464887,0.2156858395239873,0.9147149130772284,,Baseline-EBM
Model 4,4,"[(1, 3), (0, 1), (0, 1, 3), (3, 4)]",452.2803669832647,0.0740020772587937,0.2720332282255123,0.2287749114305945,0.9137980682756344,,RuleFit-Support-EBM
Model 5,5,"[(0, 1), (0, 2), (1, 2), (1, 4), (3, 4)]",12.280175989493728,0.0688637892461802,0.2624191099104259,0.2104921928208011,0.9197834455630104,,Baseline-EBM
Model 5,5,"[(1, 3), (0, 1), (0, 1, 3), (3, 4), (1, 2, 3)]",184.85431010462344,0.0826376249431515,0.2874676067718788,0.2471531297759191,0.9037388791357638,,RuleFit-Support-EBM
Model 6,6,"[(0, 1), (0, 2), (0, 4), (1, 2), (1, 4), (3, 4)]",10.319505093619227,0.0716116473563661,0.2676035264273738,0.2172746056864213,0.916582580317375,,Baseline-EBM
Model 6,6,"[(1, 3), (0, 1), (0, 1, 3), (3, 4), (1, 2, 3), (0, 3)]",342.1213061567396,0.0782598440891006,0.2797496096317217,0.2376204835257692,0.9088383733697624,,RuleFit-Support-EBM
