Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(0, 1)]",7.239182911813259,0.0648244430231553,0.2546064473322609,0.1933607017004868,0.9333960924165304,bii,BII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 1, 3)]",4664.49705638364,0.0685448246351257,0.2618106656252295,0.208640433060736,0.9295735844009904,bii,BII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 1, 3), (0, 1, 2)]",2243.280019961297,0.0554011743331441,0.235374540537298,0.1848255503177998,0.9430780347162816,bii,BII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 1, 4)]",1508.843182032928,0.0599394366847229,0.244825318716678,0.1957335648102248,0.9384151947109132,bii,BII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 1, 4), (0, 3)]",3020.065849164501,0.0590775318998446,0.2430587005228256,0.1941137978762221,0.9393007592288728,bii,BII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 1, 4), (0, 3), (0, 4)]",1139.348072083667,0.0603138450989073,0.2455887723388578,0.19700577316589,0.9380305085916988,bii,BII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 1, 4), (0, 3), (0, 4), (1, 4)]",1161.0533574279398,0.0588342826787258,0.2425577924510484,0.1936039433761908,0.9395506857671904,bii,BII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 1, 4), (0, 3), (0, 4), (1, 4), (1, 2, 4)]",550.3479948416352,0.0710494110288317,0.2665509539071878,0.2180328152721547,0.9270002458126184,bii,BII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 1, 4), (0, 3), (0, 4), (1, 4), (1, 2, 4), (1, 3)]",744.8732464499772,0.078313043147175,0.2798446768247969,0.2298638196948595,0.9195372232277944,bii,BII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 1, 4), (0, 3), (0, 4), (1, 4), (1, 2, 4), (1, 3), (2, 4)]",676.160072023049,0.0779271939501996,0.2791544267071537,0.2299387942348141,0.919933664185217,bii,BII-SPEX-EBM
Model 1,1,"[(0, 1)]",6.512670747935772,0.0648244430231553,0.2546064473322609,0.1933607017004868,0.9333960924165304,fbii,FBII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 1, 3)]",4670.074645332992,0.0685448246351257,0.2618106656252295,0.208640433060736,0.9295735844009904,fbii,FBII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 1, 3), (0, 1, 2)]",2037.201051272452,0.0554011743331441,0.235374540537298,0.1848255503177998,0.9430780347162816,fbii,FBII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 4)]",1945.5699802301824,0.0558094980377644,0.2362403395649532,0.1882286775509591,0.9426585023143302,fbii,FBII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 4), (1, 3)]",1114.2871958371252,0.0548412748191599,0.2341821402651362,0.1858592173149922,0.9436533037621276,fbii,FBII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 4), (1, 3), (0, 2)]",2588.807289836928,0.0638789118194519,0.2527427779768433,0.2041051033939223,0.9343675789418562,fbii,FBII-SPEX-EBM
