Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(4, 5)]",5.729955309070647,66.41933612461322,8.149805894904075,6.331790922806265,0.3331094369209704,bii,BII-SPEX-EBM
Model 2,2,"[(4, 5), (1, 5)]",3.9806420411914583,67.07514278359017,8.189941561671253,6.341147480583897,0.3265247388858142,bii,BII-SPEX-EBM
Model 3,3,"[(4, 5), (1, 5), (0, 5)]",4.554079445078969,68.23804291913794,8.260632113775431,6.411551576238901,0.3148485136861959,bii,BII-SPEX-EBM
Model 4,4,"[(4, 5), (1, 5), (0, 5), (2, 5)]",4.354240379296243,66.77501023461745,8.171597777339352,6.354954201785355,0.3295382523633841,bii,BII-SPEX-EBM
Model 5,5,"[(4, 5), (1, 5), (0, 5), (2, 5), (0, 1, 2)]",8.636389347724617,67.09904244179653,8.191400517725679,6.375587046159692,0.3262847717700825,bii,BII-SPEX-EBM
Model 6,6,"[(4, 5), (1, 5), (0, 5), (2, 5), (0, 1, 2), (0, 1, 5)]",4.465464637614787,73.42136336107491,8.568626690495678,6.782990254390194,0.2628048214448725,bii,BII-SPEX-EBM
Model 7,7,"[(4, 5), (1, 5), (0, 5), (2, 5), (0, 1, 2), (0, 1, 5), (0, 2, 5)]",5.449585802853108,77.3727764932725,8.796179653308162,7.022558811361924,0.2231302284356147,bii,BII-SPEX-EBM
Model 8,8,"[(4, 5), (1, 5), (0, 5), (2, 5), (0, 1, 2), (0, 1, 5), (0, 2, 5), (2, 3, 5)]",4.527061691507697,68.27389450051965,8.262801855334523,6.425575519895491,0.3144885419868393,bii,BII-SPEX-EBM
Model 9,9,"[(4, 5), (1, 5), (0, 5), (2, 5), (0, 1, 2), (0, 1, 5), (0, 2, 5), (2, 3, 5), (0, 2, 3)]",4.932183280587196,66.22088967325399,8.137621868411802,6.30710451293926,0.335101960083799,bii,BII-SPEX-EBM
Model 10,10,"[(4, 5), (1, 5), (0, 5), (2, 5), (0, 1, 2), (0, 1, 5), (0, 2, 5), (2, 3, 5), (0, 2, 3), (1, 3, 5)]",5.37677591200918,66.4234340062239,8.150057300793897,6.326505249043373,0.3330682916952842,bii,BII-SPEX-EBM
Model 1,1,"[(2, 5)]",4.202554892748594,65.14258281348881,8.071095515076552,6.240806355027131,0.3459288173039858,fbii,FBII-SPEX-EBM
Model 2,2,"[(2, 5), (1, 5)]",4.1693813828751445,63.51372410364206,7.96954980558137,6.208166514766168,0.3622835502110998,fbii,FBII-SPEX-EBM
Model 3,3,"[(2, 5), (1, 5), (0, 1, 2)]",4.463656294159591,63.46720954840261,7.966631003655348,6.086994610277776,0.3627505846583699,fbii,FBII-SPEX-EBM
Model 4,4,"[(2, 5), (1, 5), (0, 1, 2), (0, 5)]",4.1901436960324645,64.97290032088328,8.06057692233523,6.202000411437756,0.3476325328127655,fbii,FBII-SPEX-EBM
Model 5,5,"[(2, 5), (1, 5), (0, 1, 2), (0, 5), (1, 2, 3)]",3.901254745200277,66.21350636892383,8.137168203307821,6.193539224007528,0.335176092953373,fbii,FBII-SPEX-EBM
Model 6,6,"[(2, 5), (1, 5), (0, 1, 2), (0, 5), (1, 2, 3), (3, 5)]",5.31828576978296,66.19348108532249,8.13593762791496,6.199774568097756,0.3353771589898005,fbii,FBII-SPEX-EBM
