Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(0, 1)]",7.797740064561367,0.1174245514749808,0.3426726593631025,0.2671700774101816,0.8751175962971731,bii,BII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 3)]",5.861499659717083,0.1196240523055194,0.3458671020862195,0.2722125598851975,0.8727784010674383,bii,BII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 3), (0, 2)]",8.092816300690174,0.1190375063368769,0.3450181246498173,0.2717326673459848,0.8734021996642921,bii,BII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 3), (0, 2), (0, 2, 3)]",5257.132015198469,0.1290457363797988,0.3592293645845212,0.2775257572793239,0.8627583282688178,bii,BII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 4)]",3075.069171398878,0.1296927847092273,0.3601288445948579,0.2799095686935281,0.8620701846934248,bii,BII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 4), (1, 2)]",2065.758098073304,0.1282210460526197,0.3580796643941397,0.2788158440553048,0.8636353962164911,bii,BII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 4), (1, 2), (1, 3)]",4015.780789867044,0.1273464393547449,0.3568563287301277,0.27954016742175,0.8645655508166427,bii,BII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 4), (1, 2), (1, 3), (0, 1, 2)]",4166.458442389965,0.1188077010202084,0.3446849300741307,0.2672757044492957,0.8736466003451443,bii,BII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 4), (1, 2), (1, 3), (0, 1, 2), (0, 1, 3)]",4633.713868737221,0.1168291062699206,0.3418027300504205,0.2673215164753537,0.875750859337544,bii,BII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 4), (1, 2), (1, 3), (0, 1, 2), (0, 1, 3), (3, 4)]",707.3651975914836,0.1199250723631087,0.3463019958982459,0.2642530749326828,0.872458262664674,bii,BII-SPEX-EBM
Model 1,1,"[(0, 1)]",5.076320573687553,0.1174245514749808,0.3426726593631025,0.2671700774101816,0.8751175962971731,fbii,FBII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 3)]",3.78011392056942,0.1196240523055194,0.3458671020862195,0.2722125598851975,0.8727784010674383,fbii,FBII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 3), (0, 2)]",5.660063847899437,0.1190375063368769,0.3450181246498173,0.2717326673459848,0.8734021996642921,fbii,FBII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 3), (0, 2), (0, 2, 3)]",5126.534988813102,0.1290457363797988,0.3592293645845212,0.2775257572793239,0.8627583282688178,fbii,FBII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 2)]",1523.424949273467,0.128465544765194,0.3584209044757211,0.2749748466343032,0.86337536893476,fbii,FBII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 2), (3, 4)]",5256.576241292059,0.1283739006368106,0.3582930373825461,0.2745544165855633,0.8634728335526275,fbii,FBII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 2), (3, 4), (1, 3)]",3627.4070610180497,0.1267280387770349,0.355988818331468,0.274110076344384,0.8652232271681857,fbii,FBII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 2), (3, 4), (1, 3), (1, 4)]",4189.048940554261,0.1278949384875096,0.3576240183314169,0.2793111038329961,0.8639822154811598,fbii,FBII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 2), (3, 4), (1, 3), (1, 4), (0, 3, 4)]",4739.453872919083,0.1374751853365318,0.3707764627596146,0.2868823967375175,0.853793509290298,fbii,FBII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 2), (3, 4), (1, 3), (1, 4), (0, 3, 4), (2, 3)]",4784.494974575937,0.1367054497248315,0.369737000751658,0.2854825949925802,0.8546121322460372,fbii,FBII-SPEX-EBM
Model 1,1,"[(0, 1)]",5.035587847232819,0.1174245514749808,0.3426726593631025,0.2671700774101816,0.8751175962971731,fourier,FOURIER-SPEX-EBM
Model 2,2,"[(0, 1), (0, 3)]",3.751798503100872,0.1196240523055194,0.3458671020862195,0.2722125598851975,0.8727784010674383,fourier,FOURIER-SPEX-EBM
Model 3,3,"[(0, 1), (0, 3), (0, 2)]",5.663775324821472,0.1190375063368769,0.3450181246498173,0.2717326673459848,0.8734021996642921,fourier,FOURIER-SPEX-EBM
Model 4,4,"[(0, 1), (0, 3), (0, 2), (1, 4)]",7.277226462960243,0.1207332205360901,0.3474668625007141,0.2747479211057281,0.8715987874942581,fourier,FOURIER-SPEX-EBM
Model 5,5,"[(0, 1), (0, 3), (0, 2), (1, 4), (1, 2)]",9.066285200417042,0.1199192212524915,0.3462935478066138,0.2718662608806609,0.8724644853902372,fourier,FOURIER-SPEX-EBM
Model 6,6,"[(0, 1), (0, 3), (0, 2), (1, 4), (1, 2), (1, 3)]",6.621297992765904,0.1197135282233151,0.3459964280499368,0.2718866819681068,0.8726832423672561,fourier,FOURIER-SPEX-EBM
Model 7,7,"[(0, 1), (0, 3), (0, 2), (1, 4), (1, 2), (1, 3), (2, 3)]",6.73297980427742,0.1254174670698874,0.3541432860720183,0.2744517533785089,0.8666170357283007,fourier,FOURIER-SPEX-EBM
Model 8,8,"[(0, 1), (0, 3), (0, 2), (1, 4), (1, 2), (1, 3), (2, 3), (0, 1, 2)]",476.2679468616843,0.1174581919300975,0.3427217412568067,0.2658855096667167,0.875081819274022,fourier,FOURIER-SPEX-EBM
Model 1,1,"[(0, 1)]",3.9336621686816216,0.1174245514749808,0.3426726593631025,0.2671700774101816,0.8751175962971731,fsii,FSII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 3)]",4.004149340093136,0.1196240523055194,0.3458671020862195,0.2722125598851975,0.8727784010674383,fsii,FSII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 3), (0, 2)]",5.7613301277160645,0.1190375063368769,0.3450181246498173,0.2717326673459848,0.8734021996642921,fsii,FSII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 3), (0, 2), (0, 2, 3)]",5317.256452716887,0.1290457363797988,0.3592293645845212,0.2775257572793239,0.8627583282688178,fsii,FSII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 2)]",1787.8759557381272,0.128465544765194,0.3584209044757211,0.2749748466343032,0.86337536893476,fsii,FSII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 2), (1, 3)]",1929.449040345848,0.1283365456946829,0.358240904552625,0.2755797146335342,0.8635125609767861,fsii,FSII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 2), (1, 3), (1, 4)]",5893.987120255828,0.1283822702857973,0.3583047170856075,0.2799291706570224,0.8634639323316267,fsii,FSII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 2), (1, 3), (1, 4), (3, 4)]",5820.31623313576,0.1287781317612535,0.3588567008727209,0.2807881194616435,0.8630429289556942,fsii,FSII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 3), (0, 2), (0, 2, 3), (1, 2), (1, 3), (1, 4), (3, 4), (0, 3, 4)]",7436.636885732412,0.1388122963529467,0.3725752224087731,0.288277408548714,0.8523714758598956,fsii,FSII-SPEX-EBM
