Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
621_fri_c0_100_10,EBM_FBII,4,"[(0, 1), (0, 3), (1, 4), (1, 3)]",5.467629400023725,0.30154118106592065,0.549127654617686,0.42856914568942794,0.7280984987721282,
621_fri_c0_100_10,LinearRegression,,,0.00044739997247233987,0.2831489534522537,0.5321174244959976,0.4335970917613368,0.7446828813145163,
621_fri_c0_100_10,DecisionTree,,,0.0008813999593257904,0.9853245117565981,0.9926351352619944,0.704769990593195,0.11152694634876359,
621_fri_c0_100_10,XGBoost,,,0.025668499991297722,0.41621825525210066,0.6451497928792201,0.45952426791191103,0.6246934894880867,
621_fri_c0_100_10,TabPFN,,,0.15542899997672066,0.10965643797642052,0.3311441347456127,0.24280248919967562,0.9011221286601923,
621_fri_c0_100_10,PyGAM_FBII,4,"[(0, 1), (0, 3), (1, 4), (1, 3)]",0.2555379999685101,0.6344125019380427,0.7965001581531812,0.6063103563053075,0.4279464215636476,
