Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
542_pollution,EBM_FBII,4,"[(12, 13), (8, 13), (8, 12, 13), (5, 13)]",28.58392050000839,3447.458900530235,58.715065362564616,43.672431123599274,0.5112891880092811,
542_pollution,LinearRegression,,,0.0003301000106148422,2595.2717826499315,50.943810052350145,41.38443307794978,0.6320949961026736,
542_pollution,DecisionTree,,,0.0006338999955914915,5546.514295796235,74.47492393951292,61.60783386230464,0.2137276807564552,
542_pollution,XGBoost,,,0.03075669996906072,3906.8038079493363,62.50443030657376,49.573013305664055,0.4461725820784421,
542_pollution,TabPFN,,,0.15137540001887828,1912.0484424137194,43.72697614075,30.809239705403638,0.7289485462135961,
542_pollution,PyGAM_FBII,4,"[(12, 13), (8, 13), (8, 12, 13), (5, 13)]",,,,,,LinAlgError('SVD did not converge')
