Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
591_fri_c1_100_10,EBM_FBII,4,"[(0, 1), (0, 1, 2), (0, 2), (0, 3)]",310.26440650003497,0.0769162472213524,0.2773377854194275,0.23678254926205483,0.857343911364145,
591_fri_c1_100_10,LinearRegression,,,0.00030990003142505884,0.4577179005230677,0.6765485204499879,0.5255648274998624,0.15107343706818788,
591_fri_c1_100_10,DecisionTree,,,0.0006929000373929739,0.8441740228583401,0.9187894333623674,0.6918924621306359,-0.5656843460185688,
591_fri_c1_100_10,XGBoost,,,0.022922699979972094,0.3709608129409512,0.6090655243411428,0.4130382024217397,0.311981271537617,
591_fri_c1_100_10,TabPFN,,,1.0400679999729618,0.04944072568149069,0.22235270558617157,0.193645978346467,0.9083025914571431,
591_fri_c1_100_10,PyGAM_FBII,4,"[(0, 1), (0, 1, 2), (0, 2), (0, 3)]",1.4069400999578647,0.24304216911481094,0.4929930720758771,0.4017290612994281,0.5492311901318563,
