Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
602_fri_c3_250_10,EBM_FBII,4,"[(0, 1), (1, 3), (1, 2), (1, 4)]",47.31776449998142,0.07940502911372413,0.2817889797591881,0.22028267317736266,0.9356427899781254,
602_fri_c3_250_10,LinearRegression,,,0.0003828000044450164,0.8657646934659411,0.9304647728237437,0.7865338132551978,0.2983038879425174,
602_fri_c3_250_10,DecisionTree,,,0.0017373000155203044,0.1837964656930703,0.4287149002461546,0.3569930822774768,0.8510342748323133,
602_fri_c3_250_10,XGBoost,,,0.03488029999425635,0.16253040100507232,0.40315059345742293,0.3044774182140827,0.8682702686571391,
602_fri_c3_250_10,TabPFN,,,0.15586500003701076,0.029372387674684974,0.17138374390438835,0.13420124376192688,0.976193889184068,
602_fri_c3_250_10,PyGAM_FBII,4,"[(0, 1), (1, 3), (1, 2), (1, 4)]",0.2938926999922842,0.2016831182724755,0.44909143642745575,0.32562598024547446,0.8365372704298286,
