Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
665_sleuth_case2002,EBM_FBII,4,"[(2, 5), (1, 5), (0, 1, 2), (0, 5)]",2.3689128999831155,64.97290032088328,8.06057692233523,6.202000411437756,0.3476325328127655,
665_sleuth_case2002,LinearRegression,,,0.0003790999762713909,64.60115758473808,8.037484530917498,6.122123384351939,0.351365056157523,
665_sleuth_case2002,DecisionTree,,,0.0007189999450929463,199.06666666666666,14.109098719148104,10.533333333333333,-0.9987505020304341,
665_sleuth_case2002,XGBoost,,,0.04408620001049712,118.47983807057605,10.88484442105518,8.461938277880352,-0.1896096910116296,
665_sleuth_case2002,TabPFN,,,0.16951979999430478,62.644703866722494,7.914840735398439,5.976775436848402,0.37100904234849563,
665_sleuth_case2002,PyGAM_FBII,4,"[(2, 5), (1, 5), (0, 1, 2), (0, 5)]",1.7325352000189014,85.11978746299611,9.226038557419761,7.387873291436394,0.14534552281788005,
