Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
594_fri_c2_100_5,EBM_FBII,4,"[(0, 1), (0, 2), (0, 1, 2), (1, 4)]",1847.7453913000063,0.15097685926610685,0.38855740794135796,0.2859654251237211,0.8693743314437234,
594_fri_c2_100_5,LinearRegression,,,0.00035579997347667813,1.2717283236453454,1.1277093258660875,0.964837309499812,-0.10030347237074166,
594_fri_c2_100_5,DecisionTree,,,0.0006309999735094607,0.26622774358457824,0.5159726190260276,0.4416542628663591,0.7696588923427718,
594_fri_c2_100_5,XGBoost,,,0.021829299977980554,0.15174429339320744,0.3895436989520013,0.28042107964865864,0.8687103449466356,
594_fri_c2_100_5,TabPFN,,,1.1807986000203528,0.0682729179240696,0.26129086842840415,0.21151671740226446,0.9409300498667781,
594_fri_c2_100_5,PyGAM_FBII,4,"[(0, 1), (0, 2), (0, 1, 2), (1, 4)]",1.637718699988909,0.9470685602216642,0.9731744757347801,0.8046418947198152,0.1805932084629246,
