Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
596_fri_c2_250_5,EBM_FBII,4,"[(0, 1), (0, 1, 2), (0, 1, 3), (0, 2)]",4028.035429499985,0.09077397211667236,0.3012871920886654,0.22878788161897684,0.9069534200214234,
596_fri_c2_250_5,LinearRegression,,,0.00031510001281276345,0.78700475803781,0.8871328863466904,0.7270226271584457,0.19329187150513982,
596_fri_c2_250_5,DecisionTree,,,0.000965600018389523,0.41406091465879946,0.6434756519549123,0.508165528923273,0.5755726987215718,
596_fri_c2_250_5,XGBoost,,,0.03180539997993037,0.16550365481690663,0.40682140407912,0.3484140834212303,0.8303528126446325,
596_fri_c2_250_5,TabPFN,,,1.2597492999630049,0.03756600189425757,0.19381950854921073,0.15811558820307256,0.9614934995326991,
596_fri_c2_250_5,PyGAM_FBII,4,"[(0, 1), (0, 1, 2), (0, 1, 3), (0, 2)]",4.97571590001462,0.30673693188749634,0.5538383626000427,0.45189988789391156,0.6855836337252113,
