Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
230_machine_cpu,EBM_FBII,4,"[(3, 4), (2, 3), (1, 2), (2, 4)]",7.431392400001641,4806.55538786384,69.32932559793035,33.365936596454105,0.9055813689489302,
230_machine_cpu,LinearRegression,,,0.0004613000201061368,5633.068155793257,75.05376843166009,48.06880134700475,0.8893455830696775,
230_machine_cpu,DecisionTree,,,0.0009419000125490129,9295.458333333334,96.41295728963682,45.17857142857143,0.8174026137217469,
230_machine_cpu,XGBoost,,,0.05483690003165975,9661.337524220326,98.29210306133614,46.8124449026017,0.8102153851253912,
230_machine_cpu,TabPFN,,,0.17187069996725768,41867.295708232894,204.61499384999354,56.310438428606304,0.17757054114827953,
230_machine_cpu,PyGAM_FBII,4,"[(3, 4), (2, 3), (1, 2), (2, 4)]",0.2510582000249997,22809.868363359168,151.02936258674725,61.04441012534628,0.5519293191208539,
