Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
615_fri_c4_250_10,EBM_FBII,4,"[(0, 1), (0, 1, 2), (0, 1, 3), (0, 4)]",1370.5849248000304,0.09586949131773417,0.3096279885891038,0.2475463032835534,0.8654276800667708,
615_fri_c4_250_10,LinearRegression,,,0.0003127000527456403,0.5619270643942863,0.7496179456191576,0.6490937740557208,0.21122113354929395,
615_fri_c4_250_10,DecisionTree,,,0.0016550999716855586,0.2745754066004836,0.5239994337787814,0.43337033098563554,0.6145775996622858,
615_fri_c4_250_10,XGBoost,,,0.03398760000709444,0.20737521144730742,0.4553846851260014,0.3597310412675142,0.7089067343789504,
615_fri_c4_250_10,TabPFN,,,0.44775859999936074,0.045246396863247246,0.21271200451137506,0.1692250706627965,0.9364874840701233,
615_fri_c4_250_10,PyGAM_FBII,4,"[(0, 1), (0, 1, 2), (0, 1, 3), (0, 4)]",5.035504699975718,0.22387019996516158,0.47314923646262136,0.377208678097756,0.6857526648036485,
