Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
656_fri_c1_100_5,EBM_FBII,4,"[(0, 1), (1, 2), (0, 1, 2), (1, 3)]",263.6603983999812,0.06951257040504687,0.26365236658343666,0.21489722379926182,0.897689236300176,
656_fri_c1_100_5,LinearRegression,,,0.0003215000033378601,0.7160414329010225,0.8461923143712796,0.7164488293480378,-0.053892057421329964,
656_fri_c1_100_5,DecisionTree,,,0.0006414999952539802,0.34334774717034683,0.5859588271972245,0.4819413642399013,0.4946501039607387,
656_fri_c1_100_5,XGBoost,,,0.021481100004166365,0.27241099158032084,0.5219300638786013,0.4241931519471109,0.5990570277230687,
656_fri_c1_100_5,TabPFN,,,0.157663699996192,0.0642359806087479,0.2534481813088188,0.2044217369519174,0.905455485320236,
656_fri_c1_100_5,PyGAM_FBII,4,"[(0, 1), (1, 2), (0, 1, 2), (1, 3)]",1.6530467999982648,0.4716930646292611,0.6867991443131398,0.5586812560257621,0.3057474728250542,
