Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
635_fri_c0_250_10,EBM_FBII,4,"[(0, 1), (0, 3), (0, 2), (0, 2, 3)]",7468.369127199985,0.1289216142114885,0.3590565612984791,0.27730264600759374,0.8628903336674905,
635_fri_c0_250_10,LinearRegression,,,0.00035710004158318043,0.4645142327584004,0.6815528099556192,0.5213612128687929,0.5059836021310813,
635_fri_c0_250_10,DecisionTree,,,0.0015362999984063208,0.7885311087948126,0.8879927414088544,0.6988817946985364,0.1613878100975087,
635_fri_c0_250_10,XGBoost,,,0.04149859998142347,0.2849912124684393,0.533845682260744,0.42291145598515867,0.696908464199458,
635_fri_c0_250_10,TabPFN,,,0.9983687999774702,0.0590218853464977,0.24294420212570972,0.19202416334301234,0.9372295246559766,
635_fri_c0_250_10,PyGAM_FBII,4,"[(0, 1), (0, 3), (0, 2), (0, 2, 3)]",1.9664550999877974,0.3475805202856223,0.5895595985866249,0.46074855055841246,0.6303439927313993,
