Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
601_fri_c1_250_5,EBM_FBII,4,"[(0, 1), (0, 2), (1, 2), (0, 1, 3)]",2554.683778800012,0.05552322592364965,0.2356336689092831,0.18270226016041458,0.9520569950935893,
601_fri_c1_250_5,LinearRegression,,,0.00030940002761781216,0.8521485722052412,0.9231189371934915,0.8122318463584537,0.2641896702038514,
601_fri_c1_250_5,DecisionTree,,,0.0009006999898701906,0.5021745206534102,0.7086427313205225,0.5602163371630013,0.5663840652798597,
601_fri_c1_250_5,XGBoost,,,0.030357400013599545,0.2507110441892221,0.5007105393230924,0.374037925535813,0.7835168864614643,
601_fri_c1_250_5,TabPFN,,,1.1824148000450805,0.029258068450057184,0.1710499004678377,0.1381414921116084,0.974736343288445,
601_fri_c1_250_5,PyGAM_FBII,4,"[(0, 1), (0, 2), (1, 2), (0, 1, 3)]",1.8733778999885544,0.214250745790994,0.4628722780541021,0.3561240838264886,0.8149995000149195,
