Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
687_sleuth_ex1605,EBM_FBII,4,"[(3, 4), (0, 1, 4), (0, 3, 4), (0, 2, 3)]",102.36958820000291,111.92356578737324,10.579393450825677,8.704844173242849,0.6822916786806961,
687_sleuth_ex1605,LinearRegression,,,0.0003863999736495316,102.14101214295046,10.10648366856398,8.223947615366638,0.7100606179091873,
687_sleuth_ex1605,DecisionTree,,,0.0006900000153109431,150.69230769230768,12.275679520593053,9.615384615384615,0.5722420048374093,
687_sleuth_ex1605,XGBoost,,,0.027376700018066913,147.35337283515122,12.138919755692893,10.34407747708834,0.5817199675970748,
687_sleuth_ex1605,TabPFN,,,1.1242660999996588,102.90947267131952,10.14443062331837,8.520221416766827,0.7078792515208782,
687_sleuth_ex1605,PyGAM_FBII,4,"[(3, 4), (0, 1, 4), (0, 3, 4), (0, 2, 3)]",9.753775999997742,330.7415465923798,18.186301069551767,16.21340806616042,0.06115087721526169,
