Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
613_fri_c3_250_5,EBM_FBII,4,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 4)]",2857.2908122999943,0.055778847323023385,0.23617545876534968,0.18816583970681555,0.9426899944070776,
613_fri_c3_250_5,LinearRegression,,,0.0002931999624706805,0.6572275587819202,0.8106957251533525,0.6880594860175748,0.32473120408015976,
613_fri_c3_250_5,DecisionTree,,,0.000928299967199564,0.28122617670220895,0.5303076245936965,0.4628078378085047,0.711054018984231,
613_fri_c3_250_5,XGBoost,,,0.03239960002247244,0.1839572694872217,0.42890240088768644,0.3437691109254956,0.8109930081179746,
613_fri_c3_250_5,TabPFN,,,0.5620456999749877,0.03571707106098116,0.1889896056956074,0.13946034196764232,0.9633024768257852,
613_fri_c3_250_5,PyGAM_FBII,4,"[(0, 1), (0, 1, 3), (0, 1, 2), (0, 4)]",4.590580400021281,0.2776699666693808,0.526943988170831,0.43679756383861174,0.714707848825689,
