Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
659_sleuth_ex1714,EBM_FBII,4,"[(4, 5), (1, 4, 5), (3, 5), (5, 6)]",278.4214569000178,1889668.0792648639,1374.651984781917,965.7296146488194,0.69487686809919,
659_sleuth_ex1714,LinearRegression,,,0.000443900004029274,2385625.2588046286,1544.546942894462,1163.0435079853607,0.6147950751269892,
659_sleuth_ex1714,DecisionTree,,,0.0006031999946571887,2172019.1,1473.7771541179488,1108.5,0.6492858837948932,
659_sleuth_ex1714,XGBoost,,,0.03981650003697723,1677212.4911446571,1295.0723883801465,915.80869140625,0.7291818950763536,
659_sleuth_ex1714,TabPFN,,,0.15227730001788586,1502593.516318798,1225.8032127216823,786.86767578125,0.7573774755980409,
659_sleuth_ex1714,PyGAM_FBII,4,"[(4, 5), (1, 4, 5), (3, 5), (5, 6)]",1.6609287000028417,2956530.691468884,1719.4565104907085,1318.1458142291763,0.5226114501056722,
