Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
611_fri_c3_100_5,EBM_FBII,4,"[(0, 1), (0, 1, 3), (1, 4), (0, 2)]",2483.5872395000188,0.12312614110812445,0.3508933471984393,0.2777520089771877,0.7740440284387694,
611_fri_c3_100_5,LinearRegression,,,0.00041850004345178604,0.7197753398395269,0.8483957448263911,0.7338231124608866,-0.3209017577870281,
611_fri_c3_100_5,DecisionTree,,,0.000784299976658076,0.41562027238338234,0.6446861813187734,0.5501314448192716,0.23727096779179646,
611_fri_c3_100_5,XGBoost,,,0.0266880999552086,0.31704489101597344,0.563067394737054,0.5044332498684525,0.41817240649872256,
611_fri_c3_100_5,TabPFN,,,0.9732129999902099,0.05458234470560595,0.23362864701402938,0.1870305603370071,0.8998327518669276,
611_fri_c3_100_5,PyGAM_FBII,4,"[(0, 1), (0, 1, 3), (1, 4), (0, 2)]",1.7494741000118665,0.4383257780382263,0.6620617630087289,0.5893368323890837,0.1956027684650269,
