Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
634_fri_c2_100_10,EBM_FBII,4,"[(0, 1), (0, 1, 3), (0, 3), (1, 3)]",243.6331076999777,0.2782145786639678,0.5274604996243489,0.43001191106886055,0.7789160407543542,
634_fri_c2_100_10,LinearRegression,,,0.00029960001120343804,0.8433526548664749,0.9183423407784675,0.7744859900543208,0.3298275565803239,
634_fri_c2_100_10,DecisionTree,,,0.0007409999961964786,0.7114394072590435,0.8434686759204775,0.6562087596859782,0.43465277170043737,
634_fri_c2_100_10,XGBoost,,,0.021226299984846264,0.5653579417933315,0.7519028805592725,0.6332572062965482,0.5507367990460126,
634_fri_c2_100_10,TabPFN,,,0.1619652999797836,0.08161919929325087,0.2856907406501843,0.21626248774118723,0.9351410849249349,
634_fri_c2_100_10,PyGAM_FBII,4,"[(0, 1), (0, 1, 3), (0, 3), (1, 3)]",1.8372123999870382,0.765636593373,0.8750066247594929,0.7319865179145644,0.39158483276069234,
