Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
527_analcatdata_election2000,EBM_FBII,4,"[(0, 9, 11), (0, 11), (9, 10), (0, 9)]",351.0609490000061,4696034420.954606,68527.61794309362,32527.585038738653,0.667157942875807,
527_analcatdata_election2000,LinearRegression,,,0.0003184000379405916,2.3290827018511977e-19,4.826057088194458e-10,3.2027206283860975e-10,1.0,
527_analcatdata_election2000,DecisionTree,,,0.0006530999671667814,7835088845.857142,88516.0372240937,47167.42857142857,0.4446703632389921,
527_analcatdata_election2000,XGBoost,,,0.04200329998275265,3906087378.855523,62498.699017303734,30501.090454101562,0.7231472255220748,
527_analcatdata_election2000,TabPFN,,,1.2273135000141338,7330650918.324972,85619.22049589666,33012.89479282924,0.48042354186606495,
527_analcatdata_election2000,PyGAM_FBII,4,"[(0, 9, 11), (0, 11), (9, 10), (0, 9)]",1.4211767999804579,13588760782.735714,116570.84019057131,57207.45269584302,0.03686585589913516,
