Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
579_fri_c0_250_5,EBM_FBII,4,"[(0, 1), (1, 2), (0, 3), (1, 3)]",3.3356693999958225,0.08009788231425605,0.2830156926996382,0.23022320692949727,0.8990901571513129,
579_fri_c0_250_5,LinearRegression,,,0.00030020001577213407,0.3856801683737646,0.6210315357320952,0.46712635689597826,0.5141079382379017,
579_fri_c0_250_5,DecisionTree,,,0.0008956000092439353,0.44914724625446356,0.6701844867306789,0.5057164794951677,0.4341501082683218,
579_fri_c0_250_5,XGBoost,,,0.03511729999445379,0.21706733469026648,0.4659048558346076,0.37601004004478455,0.7265317134697882,
579_fri_c0_250_5,TabPFN,,,0.14387879997957498,0.04929552423399315,0.22202595396483077,0.1732539290189743,0.9378959410677137,
579_fri_c0_250_5,PyGAM_FBII,4,"[(0, 1), (1, 2), (0, 3), (1, 3)]",0.21383839996997267,0.15624979556942548,0.3952844489344673,0.30562811507928145,0.8031515707969731,
