Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
561_cpu,EBM_FBII,4,"[(3, 4), (2, 3), (1, 6), (1, 3)]",10.047665200021584,6521.022530181603,80.75284843385775,18.708595184186557,0.8786943564292583,
561_cpu,LinearRegression,,,0.0003294000052846968,6534.566764674541,80.83666720415026,38.55284754928838,0.8784424032924252,
561_cpu,DecisionTree,,,0.0007637999951839447,6473.833333333333,80.46013505664362,21.69047619047619,0.8795721813204884,
561_cpu,XGBoost,,,0.044584899966139346,6206.95606733126,78.78423742939485,21.39982114519392,0.884536696986083,
561_cpu,TabPFN,,,0.14522459998261184,174020.30847032854,417.1574144976073,66.61374273754302,-2.237168007880555,
561_cpu,PyGAM_FBII,4,"[(3, 4), (2, 3), (1, 6), (1, 3)]",0.22459979995619506,26200.24601235707,161.86490049531142,52.65486447386832,0.5126166656332312,
