Task,Method,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Error
229_pwLinear,EBM_FBII,4,"[(0, 4), (0, 5), (0, 2), (0, 1)]",2.3807742000208236,2.5903007997335017,1.6094411451598662,1.2839605096392233,0.8131739999548016,
229_pwLinear,LinearRegression,,,0.00037210003938525915,3.372534488052062,1.8364461571339525,1.4590093384210576,0.7567552276237293,
229_pwLinear,DecisionTree,,,0.0008013999904505908,5.826860149729427,2.4138890094056578,1.8440000290051102,0.5797364635378583,
229_pwLinear,XGBoost,,,0.03873560001375154,3.407868930311589,1.8460414216131742,1.5118244286626576,0.7542067234068233,
229_pwLinear,TabPFN,,,0.1574345999979414,2.4265157642639563,1.5577277567867744,1.2422876052558423,0.8249870307221874,
229_pwLinear,PyGAM_FBII,4,"[(0, 4), (0, 5), (0, 2), (0, 1)]",0.2777998999808915,2.4108732658572065,1.5526987041461735,1.2177464476637365,0.8261152492705301,
